timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3011:52:49.626,0,NVIDIARTX6000AdaGeneration,60,2,0,49140,21453,27171,40,79.74,2505,9500,2505,2025,Default,78,192932,8880,68385,3.6T,198G,3.3T
2025/01/3011:52:50.063,0,NVIDIARTX6000AdaGeneration,60,1,0,49140,21453,27171,40,80.26,2505,9500,2505,2025,Default,70,192932,8736,68528,3.6T,198G,3.3T
2025/01/3011:52:50.508,0,NVIDIARTX6000AdaGeneration,60,2,0,49140,21453,27171,40,80.56,2505,9500,2505,2025,Default,4.5,192932,8795,68469,3.6T,198G,3.3T
2025/01/3011:52:50.942,0,NVIDIARTX6000AdaGeneration,60,0,0,49140,21453,27171,40,80.18,2505,9500,2505,2025,Default,5,192932,8935,68328,3.6T,198G,3.3T
2025/01/3011:52:51.375,0,NVIDIARTX6000AdaGeneration,60,6,1,49140,21453,27171,40,80.04,2505,9500,2505,2025,Default,3.9,192932,9009,68254,3.6T,198G,3.3T
2025/01/3011:52:51.826,0,NVIDIARTX6000AdaGeneration,60,5,1,49140,21453,27171,40,80.19,2505,9500,2505,2025,Default,3.3,192932,9038,68225,3.6T,198G,3.3T
2025/01/3011:52:52.269,0,NVIDIARTX6000AdaGeneration,60,2,0,49140,21453,27171,40,80.10,2505,9500,2505,2025,Default,3.5,192932,9044,68218,3.6T,198G,3.3T
2025/01/3011:52:52.701,0,NVIDIARTX6000AdaGeneration,60,0,0,49140,21453,27171,40,79.94,2505,9500,2505,2025,Default,3.9,192932,8987,68275,3.6T,198G,3.3T
2025/01/3011:52:53.135,0,NVIDIARTX6000AdaGeneration,60,0,0,49140,21453,27171,39,79.94,2505,9500,2505,2025,Default,4.4,192932,9027,68235,3.6T,198G,3.3T
2025/01/3011:52:53.566,0,NVIDIARTX6000AdaGeneration,60,4,1,49140,21453,27171,39,79.97,2505,9500,2505,2025,Default,4.4,192932,8941,68319,3.6T,198G,3.3T
2025/01/3011:52:54.001,0,NVIDIARTX6000AdaGeneration,60,5,1,49140,21453,27171,40,79.90,2505,9500,2505,2025,Default,5,192932,9002,68258,3.6T,198G,3.3T
2025/01/3011:52:54.440,0,NVIDIARTX6000AdaGeneration,60,2,0,49140,21498,27126,40,79.59,2505,9500,2505,2025,Default,55.9,192932,8788,68471,3.6T,198G,3.3T
2025/01/3011:52:54.884,0,NVIDIARTX6000AdaGeneration,65,53,37,49140,21453,27171,39,114.24,2655,9500,2640,2085,Default,71.6,192932,8806,68454,3.6T,198G,3.3T
2025/01/3011:52:55.323,0,NVIDIARTX6000AdaGeneration,66,96,72,49140,21498,27126,39,190.41,2625,9500,2625,2070,Default,33.8,192932,8835,68424,3.6T,198G,3.3T
2025/01/3011:52:55.772,0,NVIDIARTX6000AdaGeneration,66,95,73,49140,21498,27126,39,284.56,2625,9500,2625,2070,Default,13.4,192932,8795,68464,3.6T,198G,3.3T
2025/01/3011:52:56.207,0,NVIDIARTX6000AdaGeneration,66,97,72,49140,21498,27126,40,289.43,2610,9500,2610,2070,Default,9,192932,8831,68426,3.6T,198G,3.3T
2025/01/3011:52:56.668,0,NVIDIARTX6000AdaGeneration,67,93,71,49140,21498,27126,39,289.94,2655,9500,2655,2085,Default,10.1,192932,8886,68371,3.6T,198G,3.3T
2025/01/3011:52:57.121,0,NVIDIARTX6000AdaGeneration,67,95,73,49140,21453,27171,39,291.21,2625,9500,2625,2070,Default,9.5,192932,8890,68367,3.6T,198G,3.3T
2025/01/3011:52:57.556,0,NVIDIARTX6000AdaGeneration,67,95,74,49140,21498,27126,39,290.13,2655,9500,2655,2085,Default,9.2,192932,8825,68431,3.6T,198G,3.3T
2025/01/3011:52:57.995,0,NVIDIARTX6000AdaGeneration,68,95,72,49140,21453,27171,39,289.90,2655,9500,2655,2085,Default,11,192932,8892,68364,3.6T,198G,3.3T
2025/01/3011:52:58.433,0,NVIDIARTX6000AdaGeneration,68,96,73,49140,21498,27126,39,291.43,2640,9500,2640,2085,Default,79.4,192932,8913,68342,3.6T,198G,3.3T
2025/01/3011:52:58.870,0,NVIDIARTX6000AdaGeneration,68,95,70,49140,21453,27171,39,290.89,2655,9500,2655,2085,Default,74.4,192932,8920,68335,3.6T,198G,3.3T
2025/01/3011:52:59.316,0,NVIDIARTX6000AdaGeneration,68,95,73,49140,21453,27171,39,292.16,2625,9500,2625,2070,Default,10.2,192932,8907,68347,3.6T,198G,3.3T
2025/01/3011:52:59.762,0,NVIDIARTX6000AdaGeneration,68,95,73,49140,21453,27171,39,291.90,2610,9500,2610,2070,Default,8.9,192932,8775,68479,3.6T,198G,3.3T
2025/01/3011:53:00.212,0,NVIDIARTX6000AdaGeneration,69,94,71,49140,21498,27126,39,291.39,2640,9500,2640,2085,Default,9.1,192932,8845,68409,3.6T,198G,3.3T
2025/01/3011:53:00.648,0,NVIDIARTX6000AdaGeneration,68,94,70,49140,21453,27171,39,289.50,2625,9500,2625,2070,Default,9.9,192932,8867,68386,3.6T,198G,3.3T
2025/01/3011:53:01.081,0,NVIDIARTX6000AdaGeneration,69,94,76,49140,21453,27171,39,289.83,2655,9500,2655,2085,Default,11,192932,8891,68362,3.6T,198G,3.3T
2025/01/3011:53:01.519,0,NVIDIARTX6000AdaGeneration,65,96,74,49140,21453,27171,39,288.10,2655,9500,2655,2070,Default,21.3,192932,8709,68543,3.6T,198G,3.3T
2025/01/3011:53:01.967,0,NVIDIARTX6000AdaGeneration,64,3,0,49140,21453,27171,39,199.07,2655,9500,2655,2085,Default,25.2,192932,8726,68526,3.6T,198G,3.3T
2025/01/3011:53:02.403,0,NVIDIARTX6000AdaGeneration,63,7,1,49140,21453,27171,39,125.81,2655,9500,2655,2085,Default,70,192932,8780,68471,3.6T,198G,3.3T
2025/01/3011:53:02.847,0,NVIDIARTX6000AdaGeneration,63,2,0,49140,21453,27171,39,92.50,2655,9500,2655,2085,Default,73,192932,8790,68461,3.6T,198G,3.3T
2025/01/3011:53:03.291,0,NVIDIARTX6000AdaGeneration,63,0,0,49140,21453,27171,39,91.05,2505,9500,2505,2025,Default,4.2,192932,8780,68470,3.6T,198G,3.3T
2025/01/3011:53:03.722,0,NVIDIARTX6000AdaGeneration,63,2,0,49140,21453,27171,39,86.92,2505,9500,2505,2025,Default,3.5,192932,8631,68619,3.6T,198G,3.3T
2025/01/3011:53:04.157,0,NVIDIARTX6000AdaGeneration,63,6,1,49140,21453,27171,39,82.02,2505,9500,2505,2025,Default,3.9,192932,8693,68556,3.6T,198G,3.3T
2025/01/3011:53:04.621,0,NVIDIARTX6000AdaGeneration,62,4,1,49140,21453,27171,39,81.10,2505,9500,2505,2025,Default,3.6,192932,8805,68443,3.6T,198G,3.3T
2025/01/3011:53:05.066,0,NVIDIARTX6000AdaGeneration,62,0,0,49140,21453,27171,39,81.03,2505,9500,2505,2025,Default,3.6,192932,8894,68354,3.6T,198G,3.3T
2025/01/3011:53:05.498,0,NVIDIARTX6000AdaGeneration,62,2,0,49140,21453,27171,39,80.91,2505,9500,2505,2025,Default,4.3,192932,8866,68382,3.6T,198G,3.3T
2025/01/3011:53:05.938,0,NVIDIARTX6000AdaGeneration,62,0,0,49140,21498,27126,39,80.70,2505,9500,2505,2025,Default,4.4,192932,8853,68394,3.6T,198G,3.3T
