timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/0514:03:41.020,0,NVIDIARTX6000AdaGeneration,50,0,0,49140,6170,42454,30,73.41,2505,9500,2505,2025,Default,9.4,192932,8579,43019,3.6T,221G,3.2T
2025/02/0514:03:41.470,0,NVIDIARTX6000AdaGeneration,50,19,1,49140,6609,42015,30,74.79,2505,9500,2505,2025,Default,7.4,192932,8778,42819,3.6T,221G,3.2T
2025/02/0514:03:41.907,0,NVIDIARTX6000AdaGeneration,50,29,1,49140,10765,37859,30,77.31,2505,9500,2505,2025,Default,8.3,192932,8740,42856,3.6T,221G,3.2T
2025/02/0514:03:42.342,0,NVIDIARTX6000AdaGeneration,53,32,14,49140,12479,36145,30,88.21,2685,9500,2685,2100,Default,11.3,192932,8919,42677,3.6T,221G,3.2T
2025/02/0514:03:42.783,0,NVIDIARTX6000AdaGeneration,54,91,71,49140,12524,36100,30,150.26,2670,9500,2670,2085,Default,56.7,192932,8845,42750,3.6T,221G,3.2T
2025/02/0514:03:43.220,0,NVIDIARTX6000AdaGeneration,55,91,67,49140,12479,36145,30,221.65,2670,9500,2670,2085,Default,80.2,192932,9036,42558,3.6T,221G,3.2T
2025/02/0514:03:43.656,0,NVIDIARTX6000AdaGeneration,55,91,67,49140,12524,36100,30,244.25,2670,9500,2670,2085,Default,11.1,192932,9089,42505,3.6T,221G,3.2T
2025/02/0514:03:44.090,0,NVIDIARTX6000AdaGeneration,55,89,65,49140,12479,36145,30,244.11,2670,9500,2670,2085,Default,9.4,192932,9056,42538,3.6T,221G,3.2T
2025/02/0514:03:44.539,0,NVIDIARTX6000AdaGeneration,56,91,69,49140,12512,36112,30,246.33,2670,9500,2670,2085,Default,9.6,192932,9122,42472,3.6T,221G,3.2T
2025/02/0514:03:44.974,0,NVIDIARTX6000AdaGeneration,56,89,68,49140,12483,36141,30,248.34,2670,9500,2670,2085,Default,10.4,192932,9054,42538,3.6T,221G,3.2T
2025/02/0514:03:45.407,0,NVIDIARTX6000AdaGeneration,56,91,68,49140,12479,36145,30,250.02,2670,9500,2670,2085,Default,10.8,192932,9146,42446,3.6T,221G,3.2T
2025/02/0514:03:45.871,0,NVIDIARTX6000AdaGeneration,57,93,69,49140,12524,36100,30,249.50,2670,9500,2670,2085,Default,11.7,192932,9144,42448,3.6T,221G,3.2T
2025/02/0514:03:46.319,0,NVIDIARTX6000AdaGeneration,57,92,68,49140,12524,36100,30,248.79,2670,9500,2670,2085,Default,17.4,192932,9246,42345,3.6T,221G,3.2T
2025/02/0514:03:46.756,0,NVIDIARTX6000AdaGeneration,57,88,62,49140,12516,36108,30,246.60,2670,9500,2670,2085,Default,72.6,192932,9279,42312,3.6T,221G,3.2T
2025/02/0514:03:47.196,0,NVIDIARTX6000AdaGeneration,57,92,67,49140,12483,36141,30,248.53,2670,9500,2670,2085,Default,45,192932,9233,42358,3.6T,221G,3.2T
2025/02/0514:03:47.650,0,NVIDIARTX6000AdaGeneration,58,91,67,49140,12483,36141,30,248.04,2670,9500,2670,2085,Default,9.8,192932,9262,42328,3.6T,221G,3.2T
2025/02/0514:03:48.114,0,NVIDIARTX6000AdaGeneration,58,90,65,49140,12483,36141,30,252.12,2670,9500,2670,2085,Default,9.5,192932,9206,42384,3.6T,221G,3.2T
2025/02/0514:03:48.561,0,NVIDIARTX6000AdaGeneration,58,90,67,49140,12483,36141,30,254.24,2670,9500,2670,2085,Default,10.5,192932,9285,42304,3.6T,221G,3.2T
2025/02/0514:03:49.003,0,NVIDIARTX6000AdaGeneration,59,91,67,49140,12509,36115,30,255.31,2670,9500,2670,2085,Default,10.6,192932,9160,42429,3.6T,221G,3.2T
2025/02/0514:03:49.438,0,NVIDIARTX6000AdaGeneration,59,92,68,49140,12483,36141,30,255.56,2670,9500,2670,2085,Default,11,192932,9212,42376,3.6T,221G,3.2T
2025/02/0514:03:49.871,0,NVIDIARTX6000AdaGeneration,59,94,68,49140,12528,36096,30,256.38,2670,9500,2670,2085,Default,56,192932,9031,42557,3.6T,221G,3.2T
2025/02/0514:03:50.327,0,NVIDIARTX6000AdaGeneration,60,92,71,49140,12532,36092,30,259.08,2670,9500,2670,2085,Default,81.7,192932,9195,42392,3.6T,221G,3.2T
2025/02/0514:03:50.761,0,NVIDIARTX6000AdaGeneration,60,91,69,49140,12532,36092,30,261.17,2670,9500,2670,2085,Default,11.1,192932,9213,42373,3.6T,221G,3.2T
2025/02/0514:03:51.200,0,NVIDIARTX6000AdaGeneration,58,90,66,49140,12483,36141,30,260.99,2670,9500,2670,2085,Default,7.1,192932,9066,42520,3.6T,221G,3.2T
2025/02/0514:03:51.651,0,NVIDIARTX6000AdaGeneration,59,0,0,49140,12483,36141,30,200.63,2670,9500,2670,2085,Default,9.8,192932,9115,42470,3.6T,221G,3.2T
2025/02/0514:03:52.085,0,NVIDIARTX6000AdaGeneration,60,93,71,49140,12487,36137,30,198.04,2670,9500,2670,2085,Default,11.5,192932,8981,42604,3.6T,221G,3.2T
2025/02/0514:03:52.521,0,NVIDIARTX6000AdaGeneration,60,92,69,49140,12483,36141,30,232.32,2670,9500,2670,2085,Default,11.6,192932,9045,42540,3.6T,221G,3.2T
2025/02/0514:03:52.963,0,NVIDIARTX6000AdaGeneration,61,93,68,49140,12528,36096,30,254.12,2670,9500,2670,2085,Default,14.6,192932,9133,42451,3.6T,221G,3.2T
2025/02/0514:03:53.435,0,NVIDIARTX6000AdaGeneration,61,91,69,49140,12528,36096,30,255.93,2670,9500,2670,2085,Default,29.9,192932,9304,42280,3.6T,221G,3.2T
2025/02/0514:03:53.877,0,NVIDIARTX6000AdaGeneration,61,93,70,49140,12483,36141,30,256.81,2670,9500,2670,2085,Default,69.6,192932,9338,42245,3.6T,221G,3.2T
2025/02/0514:03:54.336,0,NVIDIARTX6000AdaGeneration,61,92,68,49140,12528,36096,30,255.89,2670,9500,2670,2085,Default,46.8,192932,9382,42200,3.6T,221G,3.2T
2025/02/0514:03:54.780,0,NVIDIARTX6000AdaGeneration,62,91,68,49140,12528,36096,30,256.56,2670,9500,2670,2085,Default,10.6,192932,9386,42196,3.6T,221G,3.2T
2025/02/0514:03:55.246,0,NVIDIARTX6000AdaGeneration,62,87,69,49140,12483,36141,30,259.08,2670,9500,2670,2085,Default,8.7,192932,9407,42175,3.6T,221G,3.2T
2025/02/0514:03:55.698,0,NVIDIARTX6000AdaGeneration,62,90,70,49140,12528,36096,30,261.88,2670,9500,2670,2085,Default,9.4,192932,9396,42186,3.6T,221G,3.2T
2025/02/0514:03:56.138,0,NVIDIARTX6000AdaGeneration,62,89,66,49140,12471,36153,30,261.36,2670,9500,2670,2085,Default,11.6,192932,9367,42214,3.6T,221G,3.2T
2025/02/0514:03:56.572,0,NVIDIARTX6000AdaGeneration,62,92,68,49140,12527,36097,30,259.89,2670,9500,2670,2085,Default,12.2,192932,9407,42173,3.6T,221G,3.2T
2025/02/0514:03:57.015,0,NVIDIARTX6000AdaGeneration,62,93,67,49140,12482,36142,30,256.29,2670,9500,2670,2085,Default,32.6,192932,9198,42382,3.6T,221G,3.2T
2025/02/0514:03:57.462,0,NVIDIARTX6000AdaGeneration,62,90,66,49140,12482,36142,30,255.51,2670,9500,2670,2085,Default,64.4,192932,9360,42219,3.6T,221G,3.2T
2025/02/0514:03:57.905,0,NVIDIARTX6000AdaGeneration,63,93,68,49140,12482,36142,30,257.06,2670,9500,2670,2085,Default,39.5,192932,9350,42229,3.6T,221G,3.2T
2025/02/0514:03:58.360,0,NVIDIARTX6000AdaGeneration,63,91,69,49140,12482,36142,30,260.46,2670,9500,2670,2085,Default,15.4,192932,9268,42311,3.6T,221G,3.2T
2025/02/0514:03:58.803,0,NVIDIARTX6000AdaGeneration,63,91,66,49140,12482,36142,30,261.26,2670,9500,2670,2085,Default,10.5,192932,9290,42288,3.6T,221G,3.2T
2025/02/0514:03:59.275,0,NVIDIARTX6000AdaGeneration,64,90,67,49140,12482,36142,30,260.68,2670,9500,2670,2085,Default,10.8,192932,9047,42530,3.6T,221G,3.2T
2025/02/0514:03:59.715,0,NVIDIARTX6000AdaGeneration,64,91,67,49140,12482,36142,30,261.27,2670,9500,2670,2085,Default,10.9,192932,9076,42501,3.6T,221G,3.2T
2025/02/0514:04:00.151,0,NVIDIARTX6000AdaGeneration,64,91,69,49140,12486,36138,30,262.85,2670,9500,2670,2085,Default,10.7,192932,8922,42655,3.6T,221G,3.2T
