timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3011:52:20.408,0,NVIDIARTX6000AdaGeneration,62,0,0,49140,12417,36207,41,79.52,2505,9500,2505,2025,Default,10.1,192932,8617,68678,3.6T,198G,3.3T
2025/01/3011:52:20.855,0,NVIDIARTX6000AdaGeneration,62,47,2,49140,16665,31959,41,81.49,2655,9500,2655,2085,Default,7.1,192932,8588,68706,3.6T,198G,3.3T
2025/01/3011:52:21.293,0,NVIDIARTX6000AdaGeneration,62,21,4,49140,21323,27301,41,90.21,2655,9500,2655,2085,Default,46.5,192932,8591,68703,3.6T,198G,3.3T
2025/01/3011:52:21.727,0,NVIDIARTX6000AdaGeneration,62,0,0,49140,21323,27301,41,93.82,2655,9500,2655,2085,Default,59.1,192932,8603,68690,3.6T,198G,3.3T
2025/01/3011:52:22.170,0,NVIDIARTX6000AdaGeneration,62,4,1,49140,21323,27301,41,91.52,2655,9500,2655,2085,Default,63.4,192932,8466,68827,3.6T,198G,3.3T
2025/01/3011:52:22.616,0,NVIDIARTX6000AdaGeneration,62,4,1,49140,21323,27301,41,91.04,2655,9500,2655,2085,Default,4.1,192932,8506,68786,3.6T,198G,3.3T
2025/01/3011:52:23.058,0,NVIDIARTX6000AdaGeneration,62,5,1,49140,21323,27301,41,88.99,2505,9500,2505,2025,Default,3.6,192932,8542,68750,3.6T,198G,3.3T
2025/01/3011:52:23.500,0,NVIDIARTX6000AdaGeneration,62,0,0,49140,21323,27301,41,83.79,2505,9500,2505,2025,Default,3.5,192932,8590,68701,3.6T,198G,3.3T
2025/01/3011:52:23.936,0,NVIDIARTX6000AdaGeneration,61,0,0,49140,21323,27301,41,79.74,2505,9500,2505,2025,Default,4.5,192932,8483,68808,3.6T,198G,3.3T
2025/01/3011:52:24.366,0,NVIDIARTX6000AdaGeneration,61,2,0,49140,21323,27301,41,79.62,2505,9500,2505,2025,Default,4.1,192932,8552,68739,3.6T,198G,3.3T
2025/01/3011:52:24.798,0,NVIDIARTX6000AdaGeneration,61,4,1,49140,21323,27301,41,79.70,2505,9500,2505,2025,Default,4.5,192932,8364,68926,3.6T,198G,3.3T
2025/01/3011:52:25.230,0,NVIDIARTX6000AdaGeneration,61,4,1,49140,21323,27301,41,79.50,2505,9500,2505,2025,Default,4.9,192932,8457,68833,3.6T,198G,3.3T
2025/01/3011:52:25.670,0,NVIDIARTX6000AdaGeneration,65,39,27,49140,21451,27173,41,106.48,2505,9500,2505,2025,Default,57.2,192932,8641,68649,3.6T,198G,3.3T
2025/01/3011:52:26.122,0,NVIDIARTX6000AdaGeneration,67,96,72,49140,21496,27128,40,180.06,2640,9500,2640,2070,Default,76.6,192932,8670,68618,3.6T,198G,3.3T
2025/01/3011:52:26.555,0,NVIDIARTX6000AdaGeneration,67,94,70,49140,21451,27173,40,257.92,2640,9500,2640,2070,Default,17.7,192932,8687,68601,3.6T,198G,3.3T
2025/01/3011:52:26.999,0,NVIDIARTX6000AdaGeneration,68,95,74,49140,21451,27173,40,292.86,2625,9500,2625,2070,Default,9.4,192932,8703,68585,3.6T,198G,3.3T
2025/01/3011:52:27.440,0,NVIDIARTX6000AdaGeneration,68,96,73,49140,21496,27128,41,292.83,2640,9500,2640,2085,Default,9.5,192932,8704,68583,3.6T,198G,3.3T
2025/01/3011:52:27.872,0,NVIDIARTX6000AdaGeneration,69,94,73,49140,21451,27173,40,293.50,2655,9500,2655,2085,Default,10.1,192932,8590,68697,3.6T,198G,3.3T
2025/01/3011:52:28.304,0,NVIDIARTX6000AdaGeneration,69,95,73,49140,21496,27128,40,293.21,2655,9500,2655,2085,Default,10.4,192932,8656,68630,3.6T,198G,3.3T
2025/01/3011:52:28.748,0,NVIDIARTX6000AdaGeneration,69,95,71,49140,21451,27173,40,293.26,2610,9500,2610,2055,Default,9.8,192932,8605,68681,3.6T,198G,3.3T
2025/01/3011:52:29.202,0,NVIDIARTX6000AdaGeneration,69,95,72,49140,21451,27173,40,292.24,2595,9500,2595,2055,Default,19.8,192932,8644,68642,3.6T,198G,3.3T
2025/01/3011:52:29.637,0,NVIDIARTX6000AdaGeneration,69,95,75,49140,21453,27171,40,287.91,2640,9500,2640,2070,Default,71.4,192932,8699,68586,3.6T,198G,3.3T
2025/01/3011:52:30.091,0,NVIDIARTX6000AdaGeneration,69,94,71,49140,21498,27126,40,287.11,2640,9500,2640,2070,Default,60.3,192932,8772,68513,3.6T,198G,3.3T
2025/01/3011:52:30.535,0,NVIDIARTX6000AdaGeneration,65,93,73,49140,21453,27171,40,279.42,2655,9500,2655,2070,Default,4.7,192932,8801,68484,3.6T,198G,3.3T
2025/01/3011:52:30.982,0,NVIDIARTX6000AdaGeneration,64,7,1,49140,21453,27171,41,193.43,2655,9500,2655,2070,Default,3.5,192932,8786,68497,3.6T,198G,3.3T
2025/01/3011:52:31.422,0,NVIDIARTX6000AdaGeneration,64,4,1,49140,21453,27171,40,121.27,2655,9500,2655,2085,Default,3.7,192932,8877,68406,3.6T,198G,3.3T
2025/01/3011:52:31.877,0,NVIDIARTX6000AdaGeneration,64,0,0,49140,21453,27171,40,93.86,2655,9500,2655,2085,Default,3.6,192932,8696,68586,3.6T,198G,3.3T
2025/01/3011:52:32.322,0,NVIDIARTX6000AdaGeneration,63,2,0,49140,21453,27171,40,91.88,2505,9500,2505,2025,Default,3.6,192932,8788,68494,3.6T,198G,3.3T
2025/01/3011:52:32.752,0,NVIDIARTX6000AdaGeneration,63,0,0,49140,21453,27171,40,87.50,2505,9500,2505,2025,Default,4.3,192932,8799,68483,3.6T,198G,3.3T
2025/01/3011:52:33.189,0,NVIDIARTX6000AdaGeneration,63,4,0,49140,21453,27171,40,82.49,2505,9500,2505,2025,Default,4.8,192932,8857,68424,3.6T,198G,3.3T
2025/01/3011:52:33.633,0,NVIDIARTX6000AdaGeneration,63,4,1,49140,21453,27171,41,81.59,2505,9500,2505,2025,Default,3.6,192932,8709,68572,3.6T,198G,3.3T
2025/01/3011:52:34.065,0,NVIDIARTX6000AdaGeneration,63,4,1,49140,21453,27171,40,81.49,2505,9500,2505,2025,Default,5,192932,8725,68555,3.6T,198G,3.3T
2025/01/3011:52:34.501,0,NVIDIARTX6000AdaGeneration,63,0,0,49140,21453,27171,40,81.18,2505,9500,2505,2025,Default,63.1,192932,8793,68486,3.6T,198G,3.3T
2025/01/3011:52:34.942,0,NVIDIARTX6000AdaGeneration,63,10,1,49140,21498,27126,40,81.57,2505,9500,2505,2025,Default,67.4,192932,8912,68367,3.6T,198G,3.3T
