timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3014:14:02.997,0,NVIDIARTX6000AdaGeneration,66,0,0,49140,12562,36062,51,83.64,2505,9500,2505,2025,Default,10.2,192932,9318,59874,3.6T,206G,3.2T
2025/01/3014:14:03.464,0,NVIDIARTX6000AdaGeneration,66,21,1,49140,16812,31812,51,86.62,2505,9500,2505,2025,Default,7.4,192932,9444,59748,3.6T,206G,3.2T
2025/01/3014:14:03.912,0,NVIDIARTX6000AdaGeneration,66,41,5,49140,21532,27092,51,93.41,2655,9500,2655,2070,Default,8.9,192932,9627,59564,3.6T,206G,3.2T
2025/01/3014:14:04.345,0,NVIDIARTX6000AdaGeneration,72,94,69,49140,21643,26981,51,168.93,2640,9500,2640,2070,Default,10.9,192932,9571,59620,3.6T,206G,3.2T
2025/01/3014:14:04.782,0,NVIDIARTX6000AdaGeneration,72,95,70,49140,21643,26981,51,239.95,2610,9500,2610,2055,Default,11.4,192932,9600,59590,3.6T,206G,3.2T
2025/01/3014:14:05.234,0,NVIDIARTX6000AdaGeneration,71,96,73,49140,21598,27026,50,288.42,2580,9500,2580,2070,Default,10.4,192932,9478,59712,3.6T,206G,3.2T
2025/01/3014:14:05.681,0,NVIDIARTX6000AdaGeneration,72,95,70,49140,21598,27026,50,289.49,2580,9500,2580,2040,Default,53.3,192932,9656,59533,3.6T,206G,3.2T
2025/01/3014:14:06.134,0,NVIDIARTX6000AdaGeneration,72,95,70,49140,21643,26981,50,289.48,2610,9500,2610,2055,Default,55.1,192932,9697,59492,3.6T,206G,3.2T
2025/01/3014:14:06.583,0,NVIDIARTX6000AdaGeneration,72,95,72,49140,21643,26981,50,290.59,2565,9500,2565,2040,Default,46.1,192932,9752,59437,3.6T,206G,3.2T
2025/01/3014:14:07.032,0,NVIDIARTX6000AdaGeneration,73,96,69,49140,21598,27026,50,290.19,2595,9500,2595,2055,Default,9.4,192932,9714,59474,3.6T,206G,3.2T
2025/01/3014:14:07.517,0,NVIDIARTX6000AdaGeneration,73,94,70,49140,21643,26981,50,290.71,2610,9500,2610,2055,Default,9.9,192932,9631,59557,3.6T,206G,3.2T
2025/01/3014:14:07.973,0,NVIDIARTX6000AdaGeneration,73,88,66,49140,21600,27024,50,287.07,2550,9500,2550,2040,Default,10.2,192932,9666,59521,3.6T,206G,3.2T
2025/01/3014:14:08.414,0,NVIDIARTX6000AdaGeneration,73,94,71,49140,21600,27024,50,287.19,2655,9500,2655,2070,Default,10.8,192932,9549,59638,3.6T,206G,3.2T
