timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3011:50:49.228,0,NVIDIARTX6000AdaGeneration,58,0,0,49140,12416,36208,33,77.53,2505,9500,2505,2025,Default,6.8,192932,8416,68978,3.6T,198G,3.3T
2025/01/3011:50:49.682,0,NVIDIARTX6000AdaGeneration,58,3,0,49140,12417,36207,33,77.83,2505,9500,2505,2025,Default,3.5,192932,8441,68953,3.6T,198G,3.3T
2025/01/3011:50:50.119,0,NVIDIARTX6000AdaGeneration,58,4,0,49140,12417,36207,33,77.84,2505,9500,2505,2025,Default,3.9,192932,8522,68871,3.6T,198G,3.3T
2025/01/3011:50:50.562,0,NVIDIARTX6000AdaGeneration,58,0,0,49140,12417,36207,33,77.63,2505,9500,2505,2025,Default,3.6,192932,8549,68844,3.6T,198G,3.3T
2025/01/3011:50:51.008,0,NVIDIARTX6000AdaGeneration,58,6,1,49140,12417,36207,33,77.71,2505,9500,2505,2025,Default,4,192932,8560,68833,3.6T,198G,3.3T
2025/01/3011:50:51.446,0,NVIDIARTX6000AdaGeneration,58,3,0,49140,12417,36207,33,77.91,2505,9500,2505,2025,Default,4.9,192932,8351,69041,3.6T,198G,3.3T
2025/01/3011:50:51.880,0,NVIDIARTX6000AdaGeneration,58,9,1,49140,12417,36207,33,77.85,2505,9500,2505,2025,Default,4.6,192932,8392,68999,3.6T,198G,3.3T
2025/01/3011:50:52.326,0,NVIDIARTX6000AdaGeneration,58,0,0,49140,12417,36207,33,77.78,2505,9500,2505,2025,Default,3.5,192932,8270,69121,3.6T,198G,3.3T
2025/01/3011:50:52.766,0,NVIDIARTX6000AdaGeneration,58,0,0,49140,12417,36207,33,77.77,2505,9500,2505,2025,Default,5.2,192932,8380,69011,3.6T,198G,3.3T
2025/01/3011:50:53.201,0,NVIDIARTX6000AdaGeneration,58,4,1,49140,12417,36207,33,77.58,2505,9500,2505,2025,Default,59.6,192932,8424,68966,3.6T,198G,3.3T
2025/01/3011:50:53.663,0,NVIDIARTX6000AdaGeneration,58,5,1,49140,12417,36207,33,77.51,2505,9500,2505,2025,Default,42.1,192932,8514,68876,3.6T,198G,3.3T
2025/01/3011:50:54.097,0,NVIDIARTX6000AdaGeneration,58,2,0,49140,12417,36207,33,77.46,2505,9500,2505,2025,Default,56.6,192932,8512,68877,3.6T,198G,3.3T
2025/01/3011:50:54.551,0,NVIDIARTX6000AdaGeneration,63,57,36,49140,12417,36207,33,116.20,2550,9500,2550,2055,Default,52.1,192932,8543,68846,3.6T,198G,3.3T
2025/01/3011:50:54.995,0,NVIDIARTX6000AdaGeneration,64,90,60,49140,12461,36163,33,209.75,2505,9500,2505,2025,Default,9.6,192932,8531,68858,3.6T,198G,3.3T
2025/01/3011:50:55.450,0,NVIDIARTX6000AdaGeneration,65,89,57,49140,12461,36163,33,279.72,2535,9500,2535,2040,Default,8.6,192932,8327,69061,3.6T,198G,3.3T
2025/01/3011:50:55.896,0,NVIDIARTX6000AdaGeneration,65,89,60,49140,12461,36163,33,280.24,2505,9500,2505,2025,Default,9.2,192932,8401,68986,3.6T,198G,3.3T
2025/01/3011:50:56.331,0,NVIDIARTX6000AdaGeneration,66,90,58,49140,12461,36163,33,279.90,2550,9500,2550,2040,Default,9.7,192932,8234,69152,3.6T,198G,3.3T
