timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3014:09:56.681,0,NVIDIARTX6000AdaGeneration,56,1,0,49140,6313,42311,31,76.05,2505,9500,2505,2025,Default,12.5,192932,8410,61047,3.6T,206G,3.2T
2025/01/3014:09:57.136,0,NVIDIARTX6000AdaGeneration,62,91,60,49140,6267,42357,31,147.09,2595,9500,2595,2040,Default,10.1,192932,8465,60991,3.6T,206G,3.2T
2025/01/3014:09:57.594,0,NVIDIARTX6000AdaGeneration,62,90,58,49140,6267,42357,31,219.55,2565,9500,2565,2055,Default,15.3,192932,8528,60928,3.6T,206G,3.2T
2025/01/3014:09:58.035,0,NVIDIARTX6000AdaGeneration,63,92,62,49140,6312,42312,31,276.99,2505,9500,2505,2025,Default,79.4,192932,8536,60919,3.6T,206G,3.2T
2025/01/3014:09:58.475,0,NVIDIARTX6000AdaGeneration,63,91,59,49140,6267,42357,31,276.80,2535,9500,2535,2040,Default,60.4,192932,8569,60885,3.6T,206G,3.2T
2025/01/3014:09:58.924,0,NVIDIARTX6000AdaGeneration,64,91,59,49140,6267,42357,31,277.79,2505,9500,2505,2025,Default,10.9,192932,8628,60826,3.6T,206G,3.2T
2025/01/3014:09:59.382,0,NVIDIARTX6000AdaGeneration,65,91,58,49140,6312,42312,31,276.84,2535,9500,2535,2040,Default,9.3,192932,8614,60840,3.6T,206G,3.2T
2025/01/3014:09:59.841,0,NVIDIARTX6000AdaGeneration,65,92,59,49140,6312,42312,31,278.98,2505,9500,2505,2025,Default,9.2,192932,8618,60835,3.6T,206G,3.2T
2025/01/3014:10:00.276,0,NVIDIARTX6000AdaGeneration,64,88,56,49140,6267,42357,31,277.66,2610,9500,2610,2070,Default,10.7,192932,8595,60857,3.6T,206G,3.2T
2025/01/3014:10:00.710,0,NVIDIARTX6000AdaGeneration,65,92,61,49140,6312,42312,31,277.47,2595,9500,2595,2070,Default,11.3,192932,8649,60803,3.6T,206G,3.2T
2025/01/3014:10:01.147,0,NVIDIARTX6000AdaGeneration,65,92,60,49140,6312,42312,31,277.05,2535,9500,2535,2040,Default,59.9,192932,8441,61010,3.6T,206G,3.2T
2025/01/3014:10:01.590,0,NVIDIARTX6000AdaGeneration,66,90,59,49140,6267,42357,31,279.14,2490,9500,2490,2010,Default,79.2,192932,8616,60835,3.6T,206G,3.2T
2025/01/3014:10:02.033,0,NVIDIARTX6000AdaGeneration,66,92,60,49140,6289,42335,32,278.94,2505,9500,2505,2025,Default,10.7,192932,8608,60842,3.6T,206G,3.2T
2025/01/3014:10:02.471,0,NVIDIARTX6000AdaGeneration,66,91,57,49140,6312,42312,32,278.02,2475,9500,2475,2010,Default,9.7,192932,8478,60972,3.6T,206G,3.2T
2025/01/3014:10:02.929,0,NVIDIARTX6000AdaGeneration,66,91,59,49140,6267,42357,32,277.96,2490,9500,2490,2010,Default,9.7,192932,8547,60903,3.6T,206G,3.2T
2025/01/3014:10:03.372,0,NVIDIARTX6000AdaGeneration,66,91,60,49140,6311,42313,33,277.58,2505,9500,2505,2025,Default,10.3,192932,8603,60846,3.6T,206G,3.2T
2025/01/3014:10:03.815,0,NVIDIARTX6000AdaGeneration,67,91,58,49140,6312,42312,33,278.68,2520,9500,2520,2040,Default,12.2,192932,8665,60784,3.6T,206G,3.2T
2025/01/3014:10:04.289,0,NVIDIARTX6000AdaGeneration,67,92,60,49140,6312,42312,33,279.49,2565,9500,2505,2055,Default,11.3,192932,8700,60749,3.6T,206G,3.2T
