timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3014:21:54.852,0,NVIDIARTX6000AdaGeneration,49,0,0,49140,1260,47364,30,73.09,2505,9500,2505,2025,Default,9.4,192932,8201,60521,3.6T,207G,3.2T
2025/01/3014:21:55.289,0,NVIDIARTX6000AdaGeneration,50,10,1,49140,1687,46937,30,74.50,2505,9500,2505,2025,Default,7.7,192932,8191,60530,3.6T,207G,3.2T
2025/01/3014:21:55.727,0,NVIDIARTX6000AdaGeneration,50,54,2,49140,4547,44077,30,77.56,2685,9500,2685,2100,Default,6.5,192932,8305,60415,3.6T,207G,3.2T
2025/01/3014:21:56.163,0,NVIDIARTX6000AdaGeneration,55,9,1,49140,6306,42318,30,84.93,2640,9500,2670,2085,Default,47.6,192932,8298,60422,3.6T,207G,3.2T
2025/01/3014:21:56.626,0,NVIDIARTX6000AdaGeneration,56,91,60,49140,6261,42363,30,177.09,2595,9500,2595,2070,Default,76.3,192932,8466,60254,3.6T,207G,3.2T
2025/01/3014:21:57.065,0,NVIDIARTX6000AdaGeneration,57,91,60,49140,6306,42318,30,245.66,1290,9500,2580,2070,Default,26.8,192932,8471,60247,3.6T,207G,3.2T
2025/01/3014:21:57.511,0,NVIDIARTX6000AdaGeneration,57,90,59,49140,6261,42363,30,276.00,2580,9500,2580,2055,Default,10,192932,8431,60287,3.6T,207G,3.2T
2025/01/3014:21:57.948,0,NVIDIARTX6000AdaGeneration,58,90,60,49140,6306,42318,30,276.74,2505,9500,2520,2070,Default,11.3,192932,8508,60210,3.6T,207G,3.2T
2025/01/3014:21:58.457,0,NVIDIARTX6000AdaGeneration,58,90,56,49140,6305,42319,30,276.88,2550,9500,2550,2055,Default,9.8,192932,8500,60218,3.6T,207G,3.2T
2025/01/3014:21:58.905,0,NVIDIARTX6000AdaGeneration,58,92,59,49140,6282,42342,30,277.23,2565,9500,2565,2055,Default,9.6,192932,8571,60146,3.6T,207G,3.2T
2025/01/3014:21:59.341,0,NVIDIARTX6000AdaGeneration,58,91,59,49140,6282,42342,30,276.66,2580,9500,2580,2055,Default,10.1,192932,8637,60079,3.6T,207G,3.2T
2025/01/3014:21:59.775,0,NVIDIARTX6000AdaGeneration,58,86,60,49140,6266,42358,30,277.23,2580,9500,2580,2070,Default,11.9,192932,8638,60077,3.6T,207G,3.2T
2025/01/3014:22:00.215,0,NVIDIARTX6000AdaGeneration,59,91,60,49140,6310,42314,30,277.36,2535,9500,2535,2040,Default,81.4,192932,8642,60073,3.6T,207G,3.2T
2025/01/3014:22:00.651,0,NVIDIARTX6000AdaGeneration,58,91,58,49140,6310,42314,30,275.41,2550,9500,2550,2040,Default,61.6,192932,8581,60134,3.6T,207G,3.2T
2025/01/3014:22:01.091,0,NVIDIARTX6000AdaGeneration,59,91,60,49140,6265,42359,30,276.88,2580,9500,2565,2055,Default,10.6,192932,8602,60112,3.6T,207G,3.2T
2025/01/3014:22:01.545,0,NVIDIARTX6000AdaGeneration,54,2,0,49140,6265,42359,30,222.18,2670,9500,2670,2085,Default,9.2,192932,8716,59998,3.6T,207G,3.2T
2025/01/3014:22:01.980,0,NVIDIARTX6000AdaGeneration,60,90,61,49140,6310,42314,30,207.84,2550,9500,2550,2055,Default,10.2,192932,8783,59931,3.6T,207G,3.2T
2025/01/3014:22:02.423,0,NVIDIARTX6000AdaGeneration,60,88,60,49140,6265,42359,30,234.69,2580,9500,2580,2055,Default,11.3,192932,8702,60011,3.6T,207G,3.2T
2025/01/3014:22:02.865,0,NVIDIARTX6000AdaGeneration,60,90,59,49140,6265,42359,30,279.06,2475,9500,2475,2010,Default,11.4,192932,8770,59942,3.6T,207G,3.2T
