timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3011:51:19.899,0,NVIDIARTX6000AdaGeneration,61,0,0,49140,12417,36207,38,79.66,2505,9500,2505,2025,Default,44.6,192932,8371,68992,3.6T,198G,3.3T
2025/01/3011:51:20.342,0,NVIDIARTX6000AdaGeneration,61,4,1,49140,12417,36207,38,80.12,2505,9500,2505,2025,Default,4,192932,8415,68947,3.6T,198G,3.3T
2025/01/3011:51:20.798,0,NVIDIARTX6000AdaGeneration,61,4,1,49140,12417,36207,39,80.02,2505,9500,2505,2025,Default,3.2,192932,8429,68933,3.6T,198G,3.3T
2025/01/3011:51:21.240,0,NVIDIARTX6000AdaGeneration,60,7,1,49140,12417,36207,39,79.63,2505,9500,2505,2025,Default,3.6,192932,8451,68910,3.6T,198G,3.3T
2025/01/3011:51:21.672,0,NVIDIARTX6000AdaGeneration,60,3,0,49140,12417,36207,38,79.46,2505,9500,2505,2025,Default,4.8,192932,8318,69043,3.6T,198G,3.3T
2025/01/3011:51:22.106,0,NVIDIARTX6000AdaGeneration,60,0,0,49140,12417,36207,38,79.37,2505,9500,2505,2025,Default,3.6,192932,8386,68974,3.6T,198G,3.3T
2025/01/3011:51:22.538,0,NVIDIARTX6000AdaGeneration,60,2,0,49140,12417,36207,38,79.31,2505,9500,2505,2025,Default,4.4,192932,8453,68906,3.6T,198G,3.3T
2025/01/3011:51:22.972,0,NVIDIARTX6000AdaGeneration,60,0,0,49140,12417,36207,38,79.21,2505,9500,2505,2025,Default,4.8,192932,8444,68915,3.6T,198G,3.3T
2025/01/3011:51:23.414,0,NVIDIARTX6000AdaGeneration,60,5,1,49140,12417,36207,38,79.36,2505,9500,2505,2025,Default,21.8,192932,8344,69015,3.6T,198G,3.3T
2025/01/3011:51:23.859,0,NVIDIARTX6000AdaGeneration,60,5,1,49140,12417,36207,38,79.43,2505,9500,2505,2025,Default,27.1,192932,8497,68861,3.6T,198G,3.3T
2025/01/3011:51:24.295,0,NVIDIARTX6000AdaGeneration,60,3,0,49140,12417,36207,39,79.49,2505,9500,2505,2025,Default,77.1,192932,8564,68793,3.6T,198G,3.3T
2025/01/3011:51:24.733,0,NVIDIARTX6000AdaGeneration,60,0,0,49140,12417,36207,38,79.38,2505,9500,2505,2025,Default,81,192932,8578,68779,3.6T,198G,3.3T
2025/01/3011:51:25.164,0,NVIDIARTX6000AdaGeneration,63,29,22,49140,12417,36207,38,99.86,2505,9500,2505,2025,Default,10.1,192932,8581,68775,3.6T,198G,3.3T
2025/01/3011:51:25.599,0,NVIDIARTX6000AdaGeneration,65,91,68,49140,12462,36162,38,176.89,2655,9500,2655,2085,Default,8.9,192932,8704,68652,3.6T,198G,3.3T
2025/01/3011:51:26.044,0,NVIDIARTX6000AdaGeneration,65,91,69,49140,12417,36207,38,241.79,2655,9500,2655,2085,Default,8.8,192932,8733,68623,3.6T,198G,3.3T
2025/01/3011:51:26.480,0,NVIDIARTX6000AdaGeneration,65,90,67,49140,12462,36162,38,258.11,2655,9500,2655,2085,Default,10.9,192932,8783,68572,3.6T,198G,3.3T
2025/01/3011:51:26.915,0,NVIDIARTX6000AdaGeneration,66,92,69,49140,12462,36162,38,257.83,2655,9500,2655,2085,Default,10.2,192932,8819,68536,3.6T,198G,3.3T
2025/01/3011:51:27.359,0,NVIDIARTX6000AdaGeneration,66,92,70,49140,12462,36162,38,259.08,2655,9500,2655,2085,Default,9.7,192932,8707,68647,3.6T,198G,3.3T
2025/01/3011:51:27.800,0,NVIDIARTX6000AdaGeneration,66,93,68,49140,12417,36207,38,261.21,2655,9500,2655,2085,Default,11.3,192932,8727,68627,3.6T,198G,3.3T
2025/01/3011:51:28.238,0,NVIDIARTX6000AdaGeneration,66,92,68,49140,12462,36162,38,262.73,2655,9500,2655,2085,Default,79.3,192932,8681,68672,3.6T,198G,3.3T
2025/01/3011:51:28.680,0,NVIDIARTX6000AdaGeneration,67,91,68,49140,12417,36207,38,262.70,2655,9500,2655,2085,Default,71.3,192932,8619,68733,3.6T,198G,3.3T
2025/01/3011:51:29.130,0,NVIDIARTX6000AdaGeneration,67,92,69,49140,12462,36162,38,263.55,2655,9500,2655,2085,Default,11.3,192932,8626,68727,3.6T,198G,3.3T
2025/01/3011:51:29.571,0,NVIDIARTX6000AdaGeneration,67,91,64,49140,12439,36185,38,261.38,2655,9500,2655,2085,Default,9.2,192932,8539,68813,3.6T,198G,3.3T
2025/01/3011:51:30.014,0,NVIDIARTX6000AdaGeneration,67,91,68,49140,12417,36207,38,261.77,2655,9500,2655,2085,Default,9.7,192932,8542,68809,3.6T,198G,3.3T
2025/01/3011:51:30.449,0,NVIDIARTX6000AdaGeneration,67,91,69,49140,12417,36207,38,263.14,2655,9500,2655,2085,Default,10.4,192932,8574,68777,3.6T,198G,3.3T
2025/01/3011:51:30.884,0,NVIDIARTX6000AdaGeneration,67,92,69,49140,12417,36207,38,264.45,2655,9500,2655,2085,Default,10.8,192932,8574,68776,3.6T,198G,3.3T
2025/01/3011:51:31.327,0,NVIDIARTX6000AdaGeneration,65,91,71,49140,12462,36162,38,260.32,2655,9500,2655,2085,Default,17.2,192932,8330,69020,3.6T,198G,3.3T
2025/01/3011:51:31.779,0,NVIDIARTX6000AdaGeneration,63,0,0,49140,12417,36207,38,198.18,2655,9500,2655,2085,Default,23,192932,8457,68893,3.6T,198G,3.3T
2025/01/3011:51:32.213,0,NVIDIARTX6000AdaGeneration,63,3,0,49140,12417,36207,38,119.32,2655,9500,2655,2085,Default,74,192932,8396,68953,3.6T,198G,3.3T
2025/01/3011:51:32.655,0,NVIDIARTX6000AdaGeneration,63,7,1,49140,12417,36207,38,91.81,2655,9500,2655,2085,Default,80.5,192932,8401,68948,3.6T,198G,3.3T
2025/01/3011:51:33.088,0,NVIDIARTX6000AdaGeneration,62,2,0,49140,12417,36207,38,90.45,2505,9500,2505,2025,Default,25.6,192932,8424,68924,3.6T,198G,3.3T
2025/01/3011:51:33.536,0,NVIDIARTX6000AdaGeneration,62,0,0,49140,12417,36207,38,86.42,2505,9500,2505,2025,Default,32.3,192932,8329,69018,3.6T,198G,3.3T
2025/01/3011:51:33.981,0,NVIDIARTX6000AdaGeneration,62,2,0,49140,12417,36207,38,81.21,2505,9500,2505,2025,Default,4.2,192932,8391,68956,3.6T,198G,3.3T
2025/01/3011:51:34.437,0,NVIDIARTX6000AdaGeneration,62,5,1,49140,12417,36207,38,79.83,2505,9500,2505,2025,Default,3.8,192932,8318,69028,3.6T,198G,3.3T
2025/01/3011:51:34.882,0,NVIDIARTX6000AdaGeneration,62,2,0,49140,12417,36207,38,79.65,2505,9500,2505,2025,Default,4.2,192932,8360,68986,3.6T,198G,3.3T
2025/01/3011:51:35.314,0,NVIDIARTX6000AdaGeneration,62,0,0,49140,12417,36207,38,79.73,2505,9500,2505,2025,Default,4.1,192932,8276,69070,3.6T,198G,3.3T
2025/01/3011:51:35.748,0,NVIDIARTX6000AdaGeneration,62,2,0,49140,12417,36207,38,79.73,2505,9500,2505,2025,Default,3.6,192932,8317,69028,3.6T,198G,3.3T
