timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/01/3014:26:08.406,0,NVIDIARTX6000AdaGeneration,64,0,0,49140,6256,42368,49,83.32,2505,9500,2505,2025,Default,8.6,192932,8712,59727,3.6T,207G,3.2T
2025/01/3014:26:08.846,0,NVIDIARTX6000AdaGeneration,64,12,1,49140,6684,41940,49,84.37,2505,9500,2505,2025,Default,8.6,192932,8724,59714,3.6T,207G,3.2T
2025/01/3014:26:09.282,0,NVIDIARTX6000AdaGeneration,64,40,1,49140,10840,37784,49,86.01,2535,9500,2535,2040,Default,9.2,192932,8809,59628,3.6T,207G,3.2T
2025/01/3014:26:09.719,0,NVIDIARTX6000AdaGeneration,68,55,35,49140,12554,36070,49,107.38,2655,9500,2655,2085,Default,65.2,192932,9031,59406,3.6T,207G,3.2T
2025/01/3014:26:10.154,0,NVIDIARTX6000AdaGeneration,69,92,67,49140,12554,36070,48,170.94,2655,9500,2655,2085,Default,81.7,192932,9219,59218,3.6T,207G,3.2T
2025/01/3014:26:10.587,0,NVIDIARTX6000AdaGeneration,69,91,67,49140,12554,36070,48,231.17,2655,9500,2655,2085,Default,11.1,192932,9278,59158,3.6T,207G,3.2T
2025/01/3014:26:11.031,0,NVIDIARTX6000AdaGeneration,69,92,66,49140,12554,36070,48,262.02,2655,9500,2655,2085,Default,10.1,192932,9391,59045,3.6T,207G,3.2T
2025/01/3014:26:11.478,0,NVIDIARTX6000AdaGeneration,69,91,66,49140,12554,36070,48,262.81,2655,9500,2655,2085,Default,9.1,192932,9415,59020,3.6T,207G,3.2T
2025/01/3014:26:11.915,0,NVIDIARTX6000AdaGeneration,70,91,66,49140,12599,36025,48,263.58,2655,9500,2655,2070,Default,10.5,192932,9232,59202,3.6T,207G,3.2T
2025/01/3014:26:12.354,0,NVIDIARTX6000AdaGeneration,70,88,71,49140,12599,36025,48,266.14,2655,9500,2655,2070,Default,11,192932,9258,59176,3.6T,207G,3.2T
2025/01/3014:26:12.809,0,NVIDIARTX6000AdaGeneration,70,93,65,49140,12599,36025,48,267.59,2655,9500,2655,2070,Default,10.9,192932,9069,59364,3.6T,207G,3.2T
2025/01/3014:26:13.247,0,NVIDIARTX6000AdaGeneration,70,91,69,49140,12554,36070,48,268.20,2655,9500,2655,2070,Default,35.3,192932,9175,59257,3.6T,207G,3.2T
2025/01/3014:26:13.684,0,NVIDIARTX6000AdaGeneration,71,91,66,49140,12554,36070,48,266.94,2655,9500,2655,2070,Default,51.8,192932,9237,59196,3.6T,207G,3.2T
2025/01/3014:26:14.133,0,NVIDIARTX6000AdaGeneration,70,89,61,49140,12580,36044,48,265.11,2655,9500,2655,2070,Default,9.5,192932,9017,59415,3.6T,207G,3.2T
2025/01/3014:26:14.569,0,NVIDIARTX6000AdaGeneration,70,91,66,49140,12558,36066,48,264.20,2655,9500,2655,2070,Default,10.1,192932,9049,59382,3.6T,207G,3.2T
2025/01/3014:26:15.006,0,NVIDIARTX6000AdaGeneration,70,92,65,49140,12558,36066,47,262.68,2655,9500,2655,2070,Default,10.7,192932,8845,59586,3.6T,207G,3.2T
2025/01/3014:26:15.441,0,NVIDIARTX6000AdaGeneration,71,92,69,49140,12558,36066,48,266.95,2655,9500,2655,2070,Default,12.3,192932,8919,59511,3.6T,207G,3.2T
2025/01/3014:26:15.888,0,NVIDIARTX6000AdaGeneration,71,93,67,49140,12603,36021,47,268.37,2655,9500,2655,2070,Default,27.9,192932,8920,59510,3.6T,207G,3.2T
2025/01/3014:26:16.340,0,NVIDIARTX6000AdaGeneration,71,93,67,49140,12603,36021,47,269.79,2655,9500,2655,2070,Default,51.2,192932,9018,59411,3.6T,207G,3.2T
2025/01/3014:26:16.776,0,NVIDIARTX6000AdaGeneration,71,92,69,49140,12603,36021,47,271.77,2655,9500,2655,2070,Default,30.1,192932,9045,59384,3.6T,207G,3.2T
2025/01/3014:26:17.229,0,NVIDIARTX6000AdaGeneration,71,92,66,49140,12558,36066,47,272.98,2655,9500,2655,2070,Default,9.4,192932,8898,59531,3.6T,207G,3.2T
2025/01/3014:26:17.678,0,NVIDIARTX6000AdaGeneration,72,91,66,49140,12580,36044,47,272.86,2655,9500,2655,2070,Default,9.3,192932,8978,59450,3.6T,207G,3.2T
2025/01/3014:26:18.114,0,NVIDIARTX6000AdaGeneration,72,92,65,49140,12603,36021,47,272.18,2655,9500,2655,2070,Default,10.8,192932,8990,59437,3.6T,207G,3.2T
2025/01/3014:26:18.555,0,NVIDIARTX6000AdaGeneration,72,93,66,49140,12603,36021,47,271.69,2655,9500,2655,2070,Default,11.3,192932,9056,59371,3.6T,207G,3.2T
2025/01/3014:26:19.002,0,NVIDIARTX6000AdaGeneration,72,92,68,49140,12603,36021,47,272.51,2655,9500,2655,2070,Default,8.6,192932,8953,59474,3.6T,207G,3.2T
2025/01/3014:26:19.460,0,NVIDIARTX6000AdaGeneration,71,3,0,49140,12603,36021,47,219.82,2655,9500,2655,2070,Default,28.1,192932,9047,59379,3.6T,207G,3.2T
2025/01/3014:26:19.899,0,NVIDIARTX6000AdaGeneration,71,93,69,49140,12603,36021,47,216.31,2655,9500,2655,2070,Default,55.6,192932,9049,59377,3.6T,207G,3.2T
2025/01/3014:26:20.350,0,NVIDIARTX6000AdaGeneration,72,93,66,49140,12558,36066,47,237.90,2655,9500,2655,2070,Default,43.5,192932,9128,59297,3.6T,207G,3.2T
2025/01/3014:26:20.803,0,NVIDIARTX6000AdaGeneration,72,92,66,49140,12603,36021,47,267.64,2655,9500,2655,2070,Default,10.4,192932,9198,59227,3.6T,207G,3.2T
2025/01/3014:26:21.267,0,NVIDIARTX6000AdaGeneration,72,91,65,49140,12558,36066,47,267.43,2655,9500,2655,2070,Default,10,192932,9103,59321,3.6T,207G,3.2T
2025/01/3014:26:21.721,0,NVIDIARTX6000AdaGeneration,72,91,67,49140,12558,36066,47,266.95,2655,9500,2655,2070,Default,9.8,192932,9172,59251,3.6T,207G,3.2T
2025/01/3014:26:22.154,0,NVIDIARTX6000AdaGeneration,72,90,66,49140,12558,36066,47,267.38,2655,9500,2655,2070,Default,10.3,192932,9062,59361,3.6T,207G,3.2T
2025/01/3014:26:22.589,0,NVIDIARTX6000AdaGeneration,73,91,67,49140,12558,36066,47,269.57,2655,9500,2655,2070,Default,12.6,192932,9140,59283,3.6T,207G,3.2T
2025/01/3014:26:23.042,0,NVIDIARTX6000AdaGeneration,73,92,69,49140,12603,36021,47,271.50,2655,9500,2655,2070,Default,42.8,192932,8954,59468,3.6T,207G,3.2T
2025/01/3014:26:23.485,0,NVIDIARTX6000AdaGeneration,73,91,66,49140,12558,36066,47,272.52,2655,9500,2655,2070,Default,68.8,192932,9130,59292,3.6T,207G,3.2T
2025/01/3014:26:23.919,0,NVIDIARTX6000AdaGeneration,73,94,68,49140,12603,36021,47,272.64,2655,9500,2655,2070,Default,28.1,192932,9166,59255,3.6T,207G,3.2T
2025/01/3014:26:24.365,0,NVIDIARTX6000AdaGeneration,73,91,65,49140,12558,36066,47,271.11,2655,9500,2655,2070,Default,9.7,192932,9076,59345,3.6T,207G,3.2T
2025/01/3014:26:24.801,0,NVIDIARTX6000AdaGeneration,73,91,69,49140,12558,36066,47,271.69,2655,9500,2655,2070,Default,9.9,192932,9070,59351,3.6T,207G,3.2T
2025/01/3014:26:25.235,0,NVIDIARTX6000AdaGeneration,73,89,65,49140,12558,36066,47,270.24,2655,9500,2655,2070,Default,10.3,192932,9061,59360,3.6T,207G,3.2T
2025/01/3014:26:25.674,0,NVIDIARTX6000AdaGeneration,73,92,69,49140,12558,36066,47,272.44,2655,9500,2655,2070,Default,11.7,192932,9104,59315,3.6T,207G,3.2T
