timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/1915:14:02.593,0,NVIDIAGeForceRTX4080SUPER,42,0,27,16376,11493,4563,0,7.66,210,405,210,1185,Default,4.1,192932,5157,136184,3.6T,177G,3.3T
2025/02/1915:14:03.030,0,NVIDIAGeForceRTX4080SUPER,43,24,2,16376,6698,9358,0,21.69,2610,11251,2610,2070,Default,3.5,192932,5355,135724,3.6T,177G,3.3T
2025/02/1915:14:03.471,0,NVIDIAGeForceRTX4080SUPER,43,1,0,16376,6939,9117,0,35.21,2610,11251,2610,2070,Default,1.2,192932,5379,134485,3.6T,177G,3.3T
2025/02/1915:14:03.904,0,NVIDIAGeForceRTX4080SUPER,43,1,0,16376,6939,9117,0,45.06,2610,11251,2610,2070,Default,1.8,192932,5382,133263,3.6T,177G,3.3T
2025/02/1915:14:04.336,0,NVIDIAGeForceRTX4080SUPER,44,1,0,16376,6939,9117,0,42.93,2610,11251,2610,2070,Default,1.5,192932,5396,132049,3.6T,177G,3.3T
2025/02/1915:14:04.767,0,NVIDIAGeForceRTX4080SUPER,44,31,1,16376,10761,5295,0,43.93,2610,11251,2610,2070,Default,3,192932,5406,132039,3.6T,177G,3.3T
2025/02/1915:14:05.199,0,NVIDIAGeForceRTX4080SUPER,44,5,1,16376,11951,4105,0,47.26,2700,11251,2700,2100,Default,0.6,192932,5412,132033,3.6T,177G,3.3T
2025/02/1915:14:05.637,0,NVIDIAGeForceRTX4080SUPER,44,0,0,16376,11951,4105,0,51.28,2700,11251,2700,2100,Default,0.3,192932,5413,132031,3.6T,177G,3.3T
2025/02/1915:14:06.067,0,NVIDIAGeForceRTX4080SUPER,44,0,0,16376,11951,4105,0,51.22,2700,11251,2700,2100,Default,0.3,192932,5410,132034,3.6T,177G,3.3T
2025/02/1915:14:06.499,0,NVIDIAGeForceRTX4080SUPER,44,0,0,16376,11951,4105,0,51.19,2700,11251,2700,2100,Default,0,192932,5419,132026,3.6T,177G,3.3T
