timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/1915:23:01.318,0,NVIDIAGeForceRTX4080SUPER,41,0,11,16376,12061,3995,30,7.72,210,405,210,1185,Default,5.4,192932,5223,132128,3.6T,177G,3.3T
2025/02/1915:23:01.763,0,NVIDIAGeForceRTX4080SUPER,43,56,6,16376,5966,10090,30,22.25,2715,11251,2715,2115,Default,3.8,192932,5431,131920,3.6T,177G,3.3T
2025/02/1915:23:02.200,0,NVIDIAGeForceRTX4080SUPER,43,2,0,16376,6207,9849,30,38.54,2715,11251,2715,2115,Default,3.3,192932,5512,131838,3.6T,177G,3.3T
2025/02/1915:23:02.634,0,NVIDIAGeForceRTX4080SUPER,43,86,3,16376,10693,5363,30,52.17,2715,11251,2715,2115,Default,3.9,192932,5725,131625,3.6T,177G,3.3T
2025/02/1915:23:03.068,0,NVIDIAGeForceRTX4080SUPER,56,89,77,16376,10761,5295,30,134.12,2700,11251,2700,2100,Default,3.8,192932,5728,131622,3.6T,177G,3.3T
2025/02/1915:23:03.502,0,NVIDIAGeForceRTX4080SUPER,57,88,76,16376,10761,5295,30,223.78,2685,11251,2685,2085,Default,3.8,192932,5725,131625,3.6T,177G,3.3T
2025/02/1915:23:03.934,0,NVIDIAGeForceRTX4080SUPER,58,89,76,16376,10761,5295,30,299.74,2685,11251,2685,2085,Default,3.6,192932,5741,131609,3.6T,177G,3.3T
2025/02/1915:23:04.364,0,NVIDIAGeForceRTX4080SUPER,58,89,76,16376,10761,5295,30,297.88,2685,11251,2685,2085,Default,3.8,192932,5745,131605,3.6T,177G,3.3T
2025/02/1915:23:04.798,0,NVIDIAGeForceRTX4080SUPER,58,89,75,16376,10761,5295,30,299.68,2685,11251,2685,2085,Default,3.9,192932,5760,131589,3.6T,177G,3.3T
2025/02/1915:23:05.229,0,NVIDIAGeForceRTX4080SUPER,59,89,75,16376,10761,5295,30,300.40,2685,11251,2685,2085,Default,3.9,192932,5760,131590,3.6T,177G,3.3T
2025/02/1915:23:05.660,0,NVIDIAGeForceRTX4080SUPER,60,89,74,16376,10761,5295,30,300.14,2685,11251,2685,2085,Default,4,192932,5776,131573,3.6T,177G,3.3T
2025/02/1915:23:06.097,0,NVIDIAGeForceRTX4080SUPER,60,84,70,16376,10765,5291,30,297.05,2685,11251,2685,2085,Default,3.2,192932,5783,131566,3.6T,177G,3.3T
