timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/1915:13:24.681,0,NVIDIAGeForceRTX4080SUPER,40,4,20,16376,5390,10666,0,7.79,210,405,210,1185,Default,3.6,192932,5264,140532,3.6T,177G,3.3T
2025/02/1915:13:25.116,0,NVIDIAGeForceRTX4080SUPER,41,2,0,16376,5639,10417,0,17.51,2610,11251,2610,2070,Default,1.5,192932,5329,139949,3.6T,177G,3.3T
2025/02/1915:13:25.548,0,NVIDIAGeForceRTX4080SUPER,41,1,0,16376,5639,10417,0,32.63,2610,11251,2610,2070,Default,1.8,192932,5350,138704,3.6T,177G,3.3T
2025/02/1915:13:25.978,0,NVIDIAGeForceRTX4080SUPER,41,1,0,16376,5639,10417,0,41.23,2610,11251,2610,2070,Default,1.2,192932,5363,137459,3.6T,177G,3.3T
2025/02/1915:13:26.410,0,NVIDIAGeForceRTX4080SUPER,41,1,0,16376,5639,10417,0,41.07,2610,11251,2610,2070,Default,1.5,192932,5381,136212,3.6T,177G,3.3T
2025/02/1915:13:26.841,0,NVIDIAGeForceRTX4080SUPER,41,51,2,16376,9795,6261,0,41.62,2715,11251,2715,2115,Default,3.3,192932,5408,135944,3.6T,177G,3.3T
2025/02/1915:13:27.282,0,NVIDIAGeForceRTX4080SUPER,41,1,1,16376,11381,4675,0,45.91,2715,11251,2715,2115,Default,0,192932,5403,135949,3.6T,177G,3.3T
2025/02/1915:13:27.715,0,NVIDIAGeForceRTX4080SUPER,41,0,0,16376,11381,4675,0,49.57,2715,11251,2715,2115,Default,0,192932,5416,135935,3.6T,177G,3.3T
2025/02/1915:13:28.150,0,NVIDIAGeForceRTX4080SUPER,41,0,0,16376,11381,4675,0,50.97,2715,11251,2715,2115,Default,0.3,192932,5432,135920,3.6T,177G,3.3T
2025/02/1915:13:28.580,0,NVIDIAGeForceRTX4080SUPER,41,0,0,16376,11381,4675,0,50.84,2715,11251,2715,2115,Default,0.6,192932,5450,135901,3.6T,177G,3.3T
2025/02/1915:13:29.012,0,NVIDIAGeForceRTX4080SUPER,41,0,0,16376,11381,4675,0,49.99,2610,11251,2610,2070,Default,0.3,192932,5452,135899,3.6T,177G,3.3T
