timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/1811:43:43.149,0,NVIDIAGeForceRTX4090,45,3,0,24564,1149,23045,0,66.54,2595,10251,2595,2010,Default,5.3,192932,5662,128818,3.6T,176G,3.3T
2025/02/1811:43:43.592,0,NVIDIAGeForceRTX4090,45,5,1,24564,1537,22657,0,67.66,2595,10251,2595,2010,Default,3.9,192932,5732,128747,3.6T,176G,3.3T
2025/02/1811:43:44.025,0,NVIDIAGeForceRTX4090,45,68,3,24564,6027,18167,0,68.97,2775,10251,2775,2115,Default,5,192932,5929,128550,3.6T,176G,3.3T
2025/02/1811:43:44.459,0,NVIDIAGeForceRTX4090,54,90,62,24564,6127,18067,0,154.97,2760,10251,2760,2100,Default,5.4,192932,5948,128531,3.6T,176G,3.3T
2025/02/1811:43:44.889,0,NVIDIAGeForceRTX4090,55,92,61,24564,6105,18089,0,250.81,2760,10251,2760,2100,Default,5.8,192932,5954,128525,3.6T,176G,3.3T
2025/02/1811:43:45.325,0,NVIDIAGeForceRTX4090,56,91,61,24564,6150,18044,0,335.08,2760,10251,2760,2100,Default,6.2,192932,5972,128507,3.6T,176G,3.3T
2025/02/1811:43:45.760,0,NVIDIAGeForceRTX4090,57,92,61,24564,6105,18089,0,336.58,2760,10251,2760,2100,Default,6.2,192932,5965,128514,3.6T,176G,3.3T
2025/02/1811:43:46.199,0,NVIDIAGeForceRTX4090,57,91,62,24564,6105,18089,0,338.94,2760,10251,2760,2100,Default,5.5,192932,5986,128493,3.6T,176G,3.3T
2025/02/1811:43:46.636,0,NVIDIAGeForceRTX4090,58,91,60,24564,6150,18044,30,342.17,2760,10251,2760,2100,Default,5.3,192932,6003,128476,3.6T,176G,3.3T
2025/02/1811:43:47.070,0,NVIDIAGeForceRTX4090,57,92,59,24564,6105,18089,30,344.38,2760,10251,2760,2100,Default,5.4,192932,6037,128442,3.6T,176G,3.3T
2025/02/1811:43:47.504,0,NVIDIAGeForceRTX4090,56,86,57,24564,6109,18085,30,338.65,2760,10251,2760,2100,Default,5.7,192932,6042,128437,3.6T,176G,3.3T
2025/02/1811:43:47.940,0,NVIDIAGeForceRTX4090,58,92,60,24564,6109,18085,30,334.18,2760,10251,2760,2100,Default,5.6,192932,6042,128437,3.6T,176G,3.3T
2025/02/1811:43:48.375,0,NVIDIAGeForceRTX4090,57,92,61,24564,6109,18085,30,337.88,2760,10251,2760,2100,Default,6.2,192932,6042,128437,3.6T,176G,3.3T
2025/02/1811:43:48.807,0,NVIDIAGeForceRTX4090,57,92,62,24564,6109,18085,30,339.42,2760,10251,2760,2100,Default,6.2,192932,6037,128441,3.6T,176G,3.3T
2025/02/1811:43:49.244,0,NVIDIAGeForceRTX4090,58,92,61,24564,6154,18040,30,341.04,2760,10251,2760,2100,Default,6.3,192932,6051,128428,3.6T,176G,3.3T
2025/02/1811:43:49.683,0,NVIDIAGeForceRTX4090,57,92,62,24564,6109,18085,30,341.87,2760,10251,2760,2100,Default,5.6,192932,6049,128430,3.6T,176G,3.3T
2025/02/1811:43:50.117,0,NVIDIAGeForceRTX4090,58,92,62,24564,6154,18040,30,340.95,2760,10251,2760,2100,Default,5.5,192932,6036,128442,3.6T,176G,3.3T
2025/02/1811:43:50.552,0,NVIDIAGeForceRTX4090,58,92,62,24564,6109,18085,30,341.28,2760,10251,2760,2100,Default,6.2,192932,6027,128451,3.6T,176G,3.3T
2025/02/1811:43:50.986,0,NVIDIAGeForceRTX4090,59,92,61,24564,6109,18085,30,340.24,2760,10251,2760,2100,Default,6.5,192932,6011,128467,3.6T,176G,3.3T
2025/02/1811:43:51.428,0,NVIDIAGeForceRTX4090,58,92,61,24564,6109,18085,30,341.99,2760,10251,2760,2100,Default,6.5,192932,6002,128476,3.6T,176G,3.3T
2025/02/1811:43:51.865,0,NVIDIAGeForceRTX4090,51,75,47,24564,6109,18085,30,307.73,2760,10251,2760,2115,Default,3.3,192932,6066,128412,3.6T,176G,3.3T
2025/02/1811:43:52.301,0,NVIDIAGeForceRTX4090,57,35,21,24564,6109,18085,30,250.71,2760,10251,2760,2115,Default,6.2,192932,6068,128410,3.6T,176G,3.3T
2025/02/1811:43:52.741,0,NVIDIAGeForceRTX4090,58,90,61,24564,6109,18085,30,248.95,2760,10251,2760,2100,Default,6.2,192932,6057,128421,3.6T,176G,3.3T
2025/02/1811:43:53.172,0,NVIDIAGeForceRTX4090,58,90,61,24564,6109,18085,30,326.63,2760,10251,2760,2100,Default,6,192932,6061,128416,3.6T,176G,3.3T
2025/02/1811:43:53.603,0,NVIDIAGeForceRTX4090,59,90,61,24564,6109,18085,30,336.71,2760,10251,2760,2100,Default,6.5,192932,6061,128416,3.6T,176G,3.3T
2025/02/1811:43:54.039,0,NVIDIAGeForceRTX4090,58,90,60,24564,6154,18040,30,336.78,2760,10251,2760,2100,Default,6.2,192932,6067,128411,3.6T,176G,3.3T
2025/02/1811:43:54.471,0,NVIDIAGeForceRTX4090,59,91,60,24564,6154,18040,30,337.05,2760,10251,2760,2100,Default,6.1,192932,6068,128409,3.6T,176G,3.3T
2025/02/1811:43:54.905,0,NVIDIAGeForceRTX4090,59,91,60,24564,6109,18085,30,338.83,2760,10251,2760,2100,Default,5.6,192932,6070,128408,3.6T,176G,3.3T
2025/02/1811:43:55.341,0,NVIDIAGeForceRTX4090,59,91,59,24564,6109,18085,30,340.25,2760,10251,2760,2100,Default,6.1,192932,6087,128390,3.6T,176G,3.3T
2025/02/1811:43:55.775,0,NVIDIAGeForceRTX4090,58,91,62,24564,6109,18085,30,341.77,2760,10251,2760,2100,Default,5.9,192932,6090,128387,3.6T,176G,3.3T
2025/02/1811:43:56.208,0,NVIDIAGeForceRTX4090,59,92,61,24564,6154,18040,30,342.69,2760,10251,2760,2100,Default,5.9,192932,6082,128395,3.6T,176G,3.3T
2025/02/1811:43:56.642,0,NVIDIAGeForceRTX4090,58,82,55,24564,6109,18085,30,331.87,2760,10251,2760,2100,Default,5.8,192932,6098,128379,3.6T,176G,3.3T
2025/02/1811:43:57.083,0,NVIDIAGeForceRTX4090,59,89,61,24564,6154,18040,30,330.41,2760,10251,2760,2100,Default,5.1,192932,6111,128366,3.6T,176G,3.3T
2025/02/1811:43:57.516,0,NVIDIAGeForceRTX4090,59,90,62,24564,6109,18085,30,332.61,2760,10251,2760,2100,Default,5.4,192932,6112,128365,3.6T,176G,3.3T
2025/02/1811:43:57.947,0,NVIDIAGeForceRTX4090,60,91,61,24564,6109,18085,30,339.62,2760,10251,2760,2100,Default,6.2,192932,6103,128374,3.6T,176G,3.3T
2025/02/1811:43:58.378,0,NVIDIAGeForceRTX4090,60,92,60,24564,6109,18085,30,341.50,2760,10251,2760,2100,Default,5.8,192932,6093,128384,3.6T,176G,3.3T
2025/02/1811:43:58.811,0,NVIDIAGeForceRTX4090,59,92,61,24564,6154,18040,30,342.16,2760,10251,2760,2100,Default,5.9,192932,6105,128372,3.6T,176G,3.3T
2025/02/1811:43:59.244,0,NVIDIAGeForceRTX4090,60,91,60,24564,6109,18085,30,341.60,2760,10251,2760,2100,Default,5.6,192932,6100,128377,3.6T,176G,3.3T
2025/02/1811:43:59.679,0,NVIDIAGeForceRTX4090,60,91,61,24564,6154,18040,30,342.76,2760,10251,2760,2100,Default,6.5,192932,6098,128379,3.6T,176G,3.3T
2025/02/1811:44:00.110,0,NVIDIAGeForceRTX4090,60,92,61,24564,6131,18063,30,341.89,2760,10251,2760,2100,Default,5.9,192932,6103,128374,3.6T,176G,3.3T
