timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/1811:12:29.852,0,NVIDIAGeForceRTX4090,41,0,14,24564,5891,18304,0,20.52,210,405,210,1185,Default,5.9,192932,5547,129155,3.6T,176G,3.3T
2025/02/1811:12:30.288,0,NVIDIAGeForceRTX4090,52,89,64,24564,5891,18303,0,107.28,2775,10251,2775,2115,Default,3.8,192932,5559,129143,3.6T,176G,3.3T
2025/02/1811:12:30.722,0,NVIDIAGeForceRTX4090,54,88,66,24564,5891,18303,0,228.08,2775,10251,2775,2115,Default,3.6,192932,5567,129134,3.6T,176G,3.3T
2025/02/1811:12:31.154,0,NVIDIAGeForceRTX4090,55,87,66,24564,5891,18303,0,347.22,2775,10251,2775,2115,Default,3.3,192932,5583,129118,3.6T,176G,3.3T
2025/02/1811:12:31.587,0,NVIDIAGeForceRTX4090,55,88,66,24564,5891,18303,0,357.02,2775,10251,2775,2115,Default,3.9,192932,5595,129106,3.6T,176G,3.3T
2025/02/1811:12:32.033,0,NVIDIAGeForceRTX4090,55,89,66,24564,5891,18303,0,357.51,2775,10251,2775,2115,Default,3.8,192932,5596,129105,3.6T,176G,3.3T
2025/02/1811:12:32.469,0,NVIDIAGeForceRTX4090,56,89,66,24564,5891,18303,0,358.89,2760,10251,2760,2100,Default,3.8,192932,5603,129098,3.6T,176G,3.3T
2025/02/1811:12:32.957,0,NVIDIAGeForceRTX4090,56,88,67,24564,5891,18303,0,351.38,2760,10251,2760,2100,Default,3.9,192932,5600,129101,3.6T,176G,3.3T
2025/02/1811:12:33.387,0,NVIDIAGeForceRTX4090,57,88,66,24564,5891,18303,0,351.01,2760,10251,2760,2100,Default,4.1,192932,5600,129101,3.6T,176G,3.3T
2025/02/1811:12:33.820,0,NVIDIAGeForceRTX4090,56,89,66,24564,5891,18303,0,361.67,2760,10251,2760,2100,Default,3.9,192932,5590,129111,3.6T,176G,3.3T
2025/02/1811:12:34.252,0,NVIDIAGeForceRTX4090,57,88,66,24564,5891,18303,0,364.30,2760,10251,2760,2100,Default,3.6,192932,5606,129095,3.6T,176G,3.3T
2025/02/1811:12:34.684,0,NVIDIAGeForceRTX4090,56,90,66,24564,5891,18303,30,367.79,2760,10251,2760,2100,Default,3.6,192932,5602,129098,3.6T,176G,3.3T
2025/02/1811:12:35.114,0,NVIDIAGeForceRTX4090,57,89,66,24564,5891,18303,30,368.85,2760,10251,2760,2100,Default,3.7,192932,5590,129110,3.6T,176G,3.3T
2025/02/1811:12:35.554,0,NVIDIAGeForceRTX4090,58,89,67,24564,5891,18303,30,364.52,2760,10251,2760,2100,Default,4.1,192932,5591,129109,3.6T,176G,3.3T
2025/02/1811:12:35.991,0,NVIDIAGeForceRTX4090,58,89,66,24564,5891,18303,30,363.39,2760,10251,2760,2100,Default,3.9,192932,5579,129121,3.6T,176G,3.3T
2025/02/1811:12:36.424,0,NVIDIAGeForceRTX4090,57,89,67,24564,5891,18303,30,363.68,2760,10251,2760,2100,Default,4.3,192932,5585,129115,3.6T,176G,3.3T
2025/02/1811:12:36.861,0,NVIDIAGeForceRTX4090,58,81,62,24564,5891,18303,30,351.73,2760,10251,2760,2100,Default,4,192932,5590,129111,3.6T,176G,3.3T
2025/02/1811:12:37.298,0,NVIDIAGeForceRTX4090,57,87,66,24564,5891,18303,30,349.58,2760,10251,2760,2100,Default,3.9,192932,5583,129117,3.6T,176G,3.3T
2025/02/1811:12:37.729,0,NVIDIAGeForceRTX4090,58,87,66,24564,5891,18303,30,358.82,2760,10251,2760,2100,Default,3.9,192932,5580,129120,3.6T,176G,3.3T
2025/02/1811:12:38.164,0,NVIDIAGeForceRTX4090,58,88,65,24564,5891,18303,30,359.53,2760,10251,2760,2100,Default,4,192932,5578,129122,3.6T,176G,3.3T
2025/02/1811:12:38.604,0,NVIDIAGeForceRTX4090,58,87,65,24564,5891,18303,30,360.04,2760,10251,2760,2100,Default,3.9,192932,5584,129116,3.6T,176G,3.3T
2025/02/1811:12:39.035,0,NVIDIAGeForceRTX4090,58,89,65,24564,5891,18303,30,361.90,2760,10251,2760,2100,Default,3.8,192932,5594,129106,3.6T,176G,3.3T
2025/02/1811:12:39.468,0,NVIDIAGeForceRTX4090,59,89,65,24564,5891,18303,30,363.74,2760,10251,2760,2100,Default,4.1,192932,5600,129100,3.6T,176G,3.3T
2025/02/1811:12:39.903,0,NVIDIAGeForceRTX4090,58,89,66,24564,5891,18303,30,364.51,2760,10251,2760,2100,Default,3.8,192932,5590,129109,3.6T,176G,3.3T
2025/02/1811:12:40.334,0,NVIDIAGeForceRTX4090,59,89,66,24564,5891,18303,30,363.26,2760,10251,2760,2100,Default,3.6,192932,5589,129107,3.6T,176G,3.3T
2025/02/1811:12:40.767,0,NVIDIAGeForceRTX4090,59,89,66,24564,5891,18303,30,364.79,2760,10251,2760,2100,Default,3.8,192932,5587,129110,3.6T,176G,3.3T
2025/02/1811:12:41.200,0,NVIDIAGeForceRTX4090,59,89,67,24564,5891,18303,30,365.92,2760,10251,2760,2100,Default,4.3,192932,5576,129120,3.6T,176G,3.3T
2025/02/1811:12:41.640,0,NVIDIAGeForceRTX4090,59,86,66,24564,5891,18303,30,353.79,2760,10251,2760,2100,Default,3.9,192932,5590,129106,3.6T,176G,3.3T
2025/02/1811:12:42.070,0,NVIDIAGeForceRTX4090,58,88,67,24564,5891,18303,30,352.28,2760,10251,2760,2100,Default,3.8,192932,5574,129122,3.6T,176G,3.3T
2025/02/1811:12:42.503,0,NVIDIAGeForceRTX4090,59,89,67,24564,5891,18303,30,361.01,2760,10251,2760,2100,Default,3.8,192932,5575,129120,3.6T,176G,3.3T
2025/02/1811:12:42.937,0,NVIDIAGeForceRTX4090,59,89,66,24564,5891,18303,30,363.69,2760,10251,2760,2100,Default,3.8,192932,5586,129110,3.6T,176G,3.3T
2025/02/1811:12:43.370,0,NVIDIAGeForceRTX4090,60,89,66,24564,5891,18303,30,363.36,2760,10251,2760,2100,Default,3.8,192932,5594,129102,3.6T,176G,3.3T
2025/02/1811:12:43.807,0,NVIDIAGeForceRTX4090,59,89,65,24564,5891,18303,30,363.23,2760,10251,2760,2100,Default,3.9,192932,5593,129103,3.6T,176G,3.3T
2025/02/1811:12:44.240,0,NVIDIAGeForceRTX4090,59,89,65,24564,5891,18303,30,364.84,2760,10251,2760,2100,Default,3.6,192932,5586,129110,3.6T,176G,3.3T
2025/02/1811:12:44.671,0,NVIDIAGeForceRTX4090,60,89,66,24564,5891,18303,30,364.78,2760,10251,2760,2100,Default,3.9,192932,5597,129098,3.6T,176G,3.3T
2025/02/1811:12:45.104,0,NVIDIAGeForceRTX4090,59,89,66,24564,5891,18303,30,365.20,2760,10251,2760,2100,Default,4.2,192932,5592,129104,3.6T,176G,3.3T
2025/02/1811:12:45.536,0,NVIDIAGeForceRTX4090,60,89,66,24564,5891,18303,30,366.55,2760,10251,2760,2100,Default,4.1,192932,5599,129096,3.6T,176G,3.3T
2025/02/1811:12:45.969,0,NVIDIAGeForceRTX4090,60,89,66,24564,5890,18304,30,366.77,2760,10251,2760,2100,Default,4.4,192932,5612,129084,3.6T,176G,3.3T
2025/02/1811:12:46.406,0,NVIDIAGeForceRTX4090,60,89,66,24564,5890,18304,30,366.85,2760,10251,2760,2100,Default,3.8,192932,5626,129070,3.6T,176G,3.3T
2025/02/1811:12:46.840,0,NVIDIAGeForceRTX4090,60,90,66,24564,5890,18304,30,366.14,2760,10251,2760,2100,Default,4.6,192932,5632,129064,3.6T,176G,3.3T
2025/02/1811:12:47.279,0,NVIDIAGeForceRTX4090,60,87,67,24564,5890,18304,30,354.79,2760,10251,2760,2100,Default,3.6,192932,5634,129061,3.6T,176G,3.3T
2025/02/1811:12:47.712,0,NVIDIAGeForceRTX4090,60,87,66,24564,5890,18304,30,352.06,2760,10251,2760,2100,Default,4.1,192932,5645,129050,3.6T,176G,3.3T
2025/02/1811:12:48.144,0,NVIDIAGeForceRTX4090,60,87,66,24564,5890,18304,30,361.34,2760,10251,2760,2100,Default,3.9,192932,5644,129050,3.6T,176G,3.3T
