timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/1811:45:28.813,0,NVIDIAGeForceRTX4090,43,2,0,24564,6111,18083,30,66.85,2595,10251,2595,2010,Default,5.4,192932,6221,128244,3.6T,176G,3.3T
2025/02/1811:45:29.248,0,NVIDIAGeForceRTX4090,43,10,1,24564,6499,17696,30,67.66,2595,10251,2595,2010,Default,3.9,192932,6316,128149,3.6T,176G,3.3T
2025/02/1811:45:29.681,0,NVIDIAGeForceRTX4090,44,67,2,24564,10655,13540,30,70.38,2775,10251,2775,2115,Default,1.5,192932,6338,128127,3.6T,176G,3.3T
2025/02/1811:45:30.115,0,NVIDIAGeForceRTX4090,46,56,36,24564,12363,11832,30,93.09,2775,10251,2775,2115,Default,5.9,192932,6488,127977,3.6T,176G,3.3T
2025/02/1811:45:30.555,0,NVIDIAGeForceRTX4090,49,94,71,24564,12363,11832,30,160.90,2775,10251,2775,2115,Default,5.6,192932,6513,127952,3.6T,176G,3.3T
2025/02/1811:45:30.989,0,NVIDIAGeForceRTX4090,50,93,72,24564,12407,11788,30,225.50,2775,10251,2775,2115,Default,5.7,192932,6534,127931,3.6T,176G,3.3T
2025/02/1811:45:31.427,0,NVIDIAGeForceRTX4090,50,93,72,24564,12362,11832,30,261.92,2775,10251,2775,2115,Default,6.2,192932,6543,127921,3.6T,176G,3.3T
2025/02/1811:45:31.857,0,NVIDIAGeForceRTX4090,50,92,71,24564,12407,11788,30,263.58,2775,10251,2775,2115,Default,6.2,192932,6548,127917,3.6T,176G,3.3T
2025/02/1811:45:32.290,0,NVIDIAGeForceRTX4090,50,93,70,24564,12407,11788,30,263.25,2775,10251,2775,2115,Default,5.4,192932,6536,127929,3.6T,176G,3.3T
2025/02/1811:45:32.722,0,NVIDIAGeForceRTX4090,50,93,70,24564,12407,11788,30,264.14,2775,10251,2775,2115,Default,5.9,192932,6551,127914,3.6T,176G,3.3T
2025/02/1811:45:33.153,0,NVIDIAGeForceRTX4090,50,93,69,24564,12407,11788,30,263.58,2775,10251,2775,2115,Default,5.9,192932,6540,127924,3.6T,176G,3.3T
2025/02/1811:45:33.589,0,NVIDIAGeForceRTX4090,51,93,70,24564,12362,11832,30,263.77,2775,10251,2775,2115,Default,5.3,192932,6564,127900,3.6T,176G,3.3T
2025/02/1811:45:34.022,0,NVIDIAGeForceRTX4090,51,88,64,24564,12366,11828,30,261.27,2775,10251,2775,2115,Default,5.6,192932,6573,127891,3.6T,176G,3.3T
2025/02/1811:45:34.454,0,NVIDIAGeForceRTX4090,50,93,71,24564,12366,11828,30,261.70,2775,10251,2775,2115,Default,5.7,192932,6589,127876,3.6T,176G,3.3T
2025/02/1811:45:34.890,0,NVIDIAGeForceRTX4090,51,92,70,24564,12366,11828,30,260.62,2775,10251,2775,2115,Default,5.7,192932,6589,127875,3.6T,176G,3.3T
2025/02/1811:45:35.330,0,NVIDIAGeForceRTX4090,51,91,72,24564,12366,11828,30,263.62,2775,10251,2775,2115,Default,5,192932,6604,127860,3.6T,176G,3.3T
2025/02/1811:45:35.762,0,NVIDIAGeForceRTX4090,51,94,71,24564,12366,11828,30,266.26,2775,10251,2775,2115,Default,5.9,192932,6600,127864,3.6T,176G,3.3T
2025/02/1811:45:36.194,0,NVIDIAGeForceRTX4090,51,94,72,24564,12411,11784,30,267.37,2775,10251,2775,2115,Default,6,192932,6581,127883,3.6T,176G,3.3T
2025/02/1811:45:36.627,0,NVIDIAGeForceRTX4090,51,93,71,24564,12366,11828,30,265.88,2775,10251,2775,2115,Default,5.5,192932,6566,127898,3.6T,176G,3.3T
2025/02/1811:45:37.066,0,NVIDIAGeForceRTX4090,52,93,69,24564,12411,11784,30,265.21,2775,10251,2775,2115,Default,5.8,192932,6570,127894,3.6T,176G,3.3T
2025/02/1811:45:37.502,0,NVIDIAGeForceRTX4090,51,93,71,24564,12366,11828,30,265.59,2775,10251,2775,2115,Default,5.9,192932,6559,127905,3.6T,176G,3.3T
2025/02/1811:45:37.934,0,NVIDIAGeForceRTX4090,51,93,70,24564,12366,11828,30,264.29,2775,10251,2775,2115,Default,6.1,192932,6556,127908,3.6T,176G,3.3T
2025/02/1811:45:38.372,0,NVIDIAGeForceRTX4090,51,93,69,24564,12411,11784,30,263.43,2775,10251,2775,2115,Default,6.5,192932,6550,127914,3.6T,176G,3.3T
2025/02/1811:45:38.808,0,NVIDIAGeForceRTX4090,51,94,70,24564,12411,11784,30,263.33,2775,10251,2775,2115,Default,6.1,192932,6537,127927,3.6T,176G,3.3T
2025/02/1811:45:39.244,0,NVIDIAGeForceRTX4090,52,92,69,24564,12411,11784,30,263.53,2775,10251,2775,2115,Default,6.8,192932,6536,127927,3.6T,176G,3.3T
2025/02/1811:45:39.677,0,NVIDIAGeForceRTX4090,51,95,70,24564,12366,11828,30,263.98,2760,10251,2760,2115,Default,6.5,192932,6542,127921,3.6T,176G,3.3T
2025/02/1811:45:40.116,0,NVIDIAGeForceRTX4090,52,94,69,24564,12411,11784,30,262.53,2760,10251,2760,2115,Default,6,192932,6557,127906,3.6T,176G,3.3T
2025/02/1811:45:40.548,0,NVIDIAGeForceRTX4090,47,41,29,24564,12366,11828,30,244.53,2760,10251,2760,2115,Default,3.3,192932,6612,127851,3.6T,176G,3.3T
2025/02/1811:45:40.978,0,NVIDIAGeForceRTX4090,51,72,51,24564,12411,11784,30,202.16,2775,10251,2775,2115,Default,5.7,192932,6626,127837,3.6T,176G,3.3T
2025/02/1811:45:41.408,0,NVIDIAGeForceRTX4090,51,93,73,24564,12366,11828,30,201.86,2775,10251,2775,2115,Default,5.6,192932,6627,127836,3.6T,176G,3.3T
2025/02/1811:45:41.842,0,NVIDIAGeForceRTX4090,51,92,72,24564,12366,11828,30,255.34,2760,10251,2760,2115,Default,5.4,192932,6634,127828,3.6T,176G,3.3T
2025/02/1811:45:42.289,0,NVIDIAGeForceRTX4090,52,92,72,24564,12411,11784,30,262.67,2760,10251,2760,2115,Default,5.4,192932,6624,127839,3.6T,176G,3.3T
2025/02/1811:45:42.724,0,NVIDIAGeForceRTX4090,52,93,70,24564,12411,11784,30,262.29,2760,10251,2760,2115,Default,5.9,192932,6637,127825,3.6T,176G,3.3T
2025/02/1811:45:43.157,0,NVIDIAGeForceRTX4090,52,93,69,24564,12366,11828,30,262.64,2760,10251,2760,2115,Default,5.8,192932,6636,127827,3.6T,176G,3.3T
2025/02/1811:45:43.593,0,NVIDIAGeForceRTX4090,52,92,69,24564,12366,11828,30,262.20,2760,10251,2760,2115,Default,6.7,192932,6639,127824,3.6T,176G,3.3T
2025/02/1811:45:44.030,0,NVIDIAGeForceRTX4090,52,93,70,24564,12366,11828,30,263.28,2760,10251,2760,2115,Default,5.5,192932,6642,127820,3.6T,176G,3.3T
2025/02/1811:45:44.472,0,NVIDIAGeForceRTX4090,52,94,70,24564,12411,11784,30,264.17,2760,10251,2760,2115,Default,6,192932,6658,127804,3.6T,176G,3.3T
2025/02/1811:45:44.905,0,NVIDIAGeForceRTX4090,52,93,70,24564,12411,11784,30,266.00,2760,10251,2760,2115,Default,5.6,192932,6655,127807,3.6T,176G,3.3T
2025/02/1811:45:45.337,0,NVIDIAGeForceRTX4090,52,93,72,24564,12366,11828,30,266.13,2760,10251,2760,2115,Default,5.5,192932,6673,127789,3.6T,176G,3.3T
2025/02/1811:45:45.774,0,NVIDIAGeForceRTX4090,53,94,72,24564,12411,11784,30,268.17,2760,10251,2760,2115,Default,6.3,192932,6659,127803,3.6T,176G,3.3T
2025/02/1811:45:46.213,0,NVIDIAGeForceRTX4090,52,93,71,24564,12411,11784,30,266.86,2760,10251,2760,2115,Default,6.4,192932,6659,127803,3.6T,176G,3.3T
2025/02/1811:45:46.647,0,NVIDIAGeForceRTX4090,53,93,70,24564,12366,11828,30,265.88,2760,10251,2760,2115,Default,5.6,192932,6660,127802,3.6T,176G,3.3T
2025/02/1811:45:47.080,0,NVIDIAGeForceRTX4090,53,94,71,24564,12411,11784,30,266.46,2760,10251,2760,2115,Default,5.7,192932,6649,127813,3.6T,176G,3.3T
2025/02/1811:45:47.520,0,NVIDIAGeForceRTX4090,53,93,70,24564,12411,11784,30,267.31,2760,10251,2760,2115,Default,5.9,192932,6664,127798,3.6T,176G,3.3T
2025/02/1811:45:47.952,0,NVIDIAGeForceRTX4090,52,93,68,24564,12366,11828,30,265.31,2760,10251,2760,2115,Default,6,192932,6657,127804,3.6T,176G,3.3T
2025/02/1811:45:48.394,0,NVIDIAGeForceRTX4090,53,93,71,24564,12411,11784,30,264.72,2760,10251,2760,2115,Default,5.6,192932,6649,127813,3.6T,176G,3.3T
2025/02/1811:45:48.825,0,NVIDIAGeForceRTX4090,53,92,70,24564,12366,11828,30,264.70,2760,10251,2760,2115,Default,5.6,192932,6639,127823,3.6T,176G,3.3T
