timestamp,gpu_index,gpu_name,gpu_temp,utilization_gpu,utilization_mem,gpu_mem_total,gpu_mem_used,gpu_mem_free,fan_speed,power_draw,clocks_sm,clocks_mem,clocks_gr,clocks_video,compute_mode,cpu_usage,ram_total,ram_used,ram_free,disk_total,disk_used,disk_free
2025/02/1811:05:16.536,0,NVIDIAGeForceRTX4090,41,0,10,24564,5825,18370,0,20.40,210,405,210,1185,Default,4.9,192932,5448,137609,3.6T,176G,3.3T
2025/02/1811:05:16.973,0,NVIDIAGeForceRTX4090,42,7,1,24564,6209,17985,0,36.55,2595,10251,2595,2010,Default,3,192932,5553,137075,3.6T,176G,3.3T
2025/02/1811:05:17.404,0,NVIDIAGeForceRTX4090,42,1,0,24564,6209,17985,0,53.66,2595,10251,2595,2010,Default,1.2,192932,5584,135803,3.6T,176G,3.3T
2025/02/1811:05:17.839,0,NVIDIAGeForceRTX4090,42,1,0,24564,6209,17985,0,67.55,2595,10251,2595,2010,Default,2.1,192932,5601,134572,3.6T,176G,3.3T
2025/02/1811:05:18.268,0,NVIDIAGeForceRTX4090,42,1,0,24564,6209,17985,0,67.21,2595,10251,2595,2010,Default,1.8,192932,5624,133310,3.6T,176G,3.3T
2025/02/1811:05:18.708,0,NVIDIAGeForceRTX4090,42,22,1,24564,10365,13829,0,67.38,2595,10251,2595,2010,Default,3.4,192932,5646,132968,3.6T,176G,3.3T
2025/02/1811:05:19.149,0,NVIDIAGeForceRTX4090,43,24,1,24564,11951,12243,0,70.69,2775,10251,2775,2115,Default,0.9,192932,5653,132960,3.6T,176G,3.3T
2025/02/1811:05:19.588,0,NVIDIAGeForceRTX4090,43,0,0,24564,11951,12243,0,76.54,2775,10251,2775,2115,Default,0.3,192932,5671,132942,3.6T,176G,3.3T
2025/02/1811:05:20.024,0,NVIDIAGeForceRTX4090,43,0,0,24564,11951,12243,0,80.40,2775,10251,2775,2115,Default,0.3,192932,5669,132944,3.6T,176G,3.3T
2025/02/1811:05:20.456,0,NVIDIAGeForceRTX4090,43,0,0,24564,11951,12243,0,80.11,2775,10251,2775,2115,Default,0.3,192932,5670,132944,3.6T,176G,3.3T
2025/02/1811:05:20.889,0,NVIDIAGeForceRTX4090,42,0,0,24564,11951,12243,0,78.04,2595,10251,2595,2010,Default,0.3,192932,5663,132950,3.6T,176G,3.3T
2025/02/1811:05:21.318,0,NVIDIAGeForceRTX4090,42,0,0,24564,11951,12243,0,73.13,2595,10251,2595,2010,Default,0.3,192932,5668,132945,3.6T,176G,3.3T
2025/02/1811:05:21.749,0,NVIDIAGeForceRTX4090,46,16,10,24564,12073,12121,0,71.63,2595,10251,2595,2010,Default,3.8,192932,5801,132807,3.6T,176G,3.3T
2025/02/1811:05:22.183,0,NVIDIAGeForceRTX4090,49,91,77,24564,12073,12121,0,155.38,2775,10251,2775,2115,Default,3.9,192932,5817,132791,3.6T,176G,3.3T
2025/02/1811:05:22.617,0,NVIDIAGeForceRTX4090,50,91,77,24564,12073,12121,0,229.91,2775,10251,2775,2115,Default,4,192932,5809,132799,3.6T,176G,3.3T
2025/02/1811:05:23.054,0,NVIDIAGeForceRTX4090,50,90,76,24564,12073,12121,0,271.07,2775,10251,2775,2115,Default,3.9,192932,5804,132804,3.6T,176G,3.3T
2025/02/1811:05:23.486,0,NVIDIAGeForceRTX4090,50,90,76,24564,12073,12121,0,272.95,2775,10251,2775,2115,Default,4.1,192932,5817,132790,3.6T,176G,3.3T
2025/02/1811:05:23.920,0,NVIDIAGeForceRTX4090,50,90,75,24564,12073,12121,0,274.33,2775,10251,2775,2115,Default,3.6,192932,5832,132776,3.6T,176G,3.3T
2025/02/1811:05:24.352,0,NVIDIAGeForceRTX4090,51,90,75,24564,12073,12121,0,274.92,2775,10251,2775,2115,Default,3.8,192932,5827,132780,3.6T,176G,3.3T
2025/02/1811:05:24.785,0,NVIDIAGeForceRTX4090,51,92,76,24564,12073,12121,0,276.36,2775,10251,2775,2115,Default,3.6,192932,5828,132780,3.6T,176G,3.3T
2025/02/1811:05:25.219,0,NVIDIAGeForceRTX4090,51,91,74,24564,12077,12117,0,275.68,2775,10251,2775,2115,Default,4.1,192932,5867,132740,3.6T,176G,3.3T
2025/02/1811:05:25.652,0,NVIDIAGeForceRTX4090,51,90,76,24564,12077,12117,0,274.24,2775,10251,2775,2115,Default,3.5,192932,5884,132723,3.6T,176G,3.3T
2025/02/1811:05:26.084,0,NVIDIAGeForceRTX4090,51,90,75,24564,12077,12117,0,273.59,2775,10251,2775,2115,Default,3.2,192932,5982,132625,3.6T,176G,3.3T
2025/02/1811:05:26.522,0,NVIDIAGeForceRTX4090,46,1,0,24564,12077,12117,30,211.32,2775,10251,2775,2115,Default,0.3,192932,5986,132621,3.6T,176G,3.3T
2025/02/1811:05:26.954,0,NVIDIAGeForceRTX4090,45,0,0,24564,12077,12117,30,142.33,2775,10251,2775,2115,Default,0.3,192932,5982,132625,3.6T,176G,3.3T
2025/02/1811:05:27.390,0,NVIDIAGeForceRTX4090,45,2,0,24564,12077,12118,30,84.74,2775,10251,2775,2115,Default,0.3,192932,6000,132607,3.6T,176G,3.3T
2025/02/1811:05:27.826,0,NVIDIAGeForceRTX4090,45,1,0,24564,12077,12118,30,82.35,2775,10251,2775,2115,Default,0,192932,5999,132608,3.6T,176G,3.3T
2025/02/1811:05:28.264,0,NVIDIAGeForceRTX4090,44,0,0,24564,12077,12118,30,76.61,2595,10251,2595,1995,Default,0.6,192932,6009,132597,3.6T,176G,3.3T
2025/02/1811:05:28.706,0,NVIDIAGeForceRTX4090,44,0,0,24564,12077,12118,30,72.75,2595,10251,2595,1995,Default,0.3,192932,5999,132620,3.6T,176G,3.3T
2025/02/1811:05:29.141,0,NVIDIAGeForceRTX4090,44,0,0,24564,12077,12118,30,72.75,2595,10251,2595,2010,Default,0,192932,6007,132612,3.6T,176G,3.3T
2025/02/1811:05:29.580,0,NVIDIAGeForceRTX4090,44,0,0,24564,12077,12118,30,67.14,2595,10251,2595,2010,Default,0.3,192932,6013,132607,3.6T,176G,3.3T
2025/02/1811:05:30.020,0,NVIDIAGeForceRTX4090,44,0,0,24564,12077,12118,30,67.15,2595,10251,2595,2010,Default,0.3,192932,6011,132608,3.6T,176G,3.3T
2025/02/1811:05:30.458,0,NVIDIAGeForceRTX4090,44,0,0,24564,12077,12117,30,67.33,2595,10251,2595,2010,Default,1.5,192932,5999,132620,3.6T,176G,3.3T
2025/02/1811:05:30.893,0,NVIDIAGeForceRTX4090,44,9,1,24564,12091,12104,30,68.85,2595,10251,2595,2010,Default,1.2,192932,6006,132613,3.6T,176G,3.3T
